"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","2338","0.0-0.0","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","","","","","","","","","","","","","","",""
"","external-html","1","5276","0.0-1.0","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","2926","text/information.html","","","","","","","","","","","","",""
"","external-html","2","11559","0.0-2.0","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","6106","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","31255","0.0-3.0","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","19691","","{""codeword_enter"":""UN04PH03""}","","","","","","","","","","","",""
"","survey-html-form","4","44200","0.0-4.0","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","12937","","{""age"":""25"",""education"":""1"",""subject"":""1"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","53469","0.0-5.0","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","9264","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","57485","0.0-6.0-0.0-0.0","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","7","60005","0.0-6.0-0.0-0.1","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","8","62525","0.0-6.0-0.0-0.2","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","9","65045","0.0-6.0-0.0-0.3","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","10","67564","0.0-6.0-0.0-0.4","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","11","70084","0.0-6.0-0.0-0.5","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","12","72604","0.0-6.0-0.0-0.6","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","13","75123","0.0-6.0-0.0-0.7","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","14","77644","0.0-6.0-0.0-0.8","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","15","80164","0.0-6.0-0.0-0.9","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","16","82684","0.0-6.0-0.0-0.10","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","17","85203","0.0-6.0-0.0-0.11","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","18","87722","0.0-6.0-0.0-0.12","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","19","90242","0.0-6.0-0.0-0.13","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","20","92763","0.0-6.0-0.0-0.14","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","21","95282","0.0-6.0-0.0-0.15","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","22","97802","0.0-6.0-0.0-0.16","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","23","100323","0.0-6.0-0.0-0.17","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","24","102842","0.0-6.0-0.0-0.18","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","25","105362","0.0-6.0-0.0-0.19","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","survey-html-form","26","108918","0.0-6.0-1.0","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","3045","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","112932","0.0-6.0-2.0-0.0","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","28","115443","0.0-6.0-2.0-0.1","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","29","117963","0.0-6.0-2.0-0.2","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","30","120482","0.0-6.0-2.0-0.3","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","31","123003","0.0-6.0-2.0-0.4","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","32","125522","0.0-6.0-2.0-0.5","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","33","128042","0.0-6.0-2.0-0.6","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","34","130561","0.0-6.0-2.0-0.7","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","35","133081","0.0-6.0-2.0-0.8","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","36","135601","0.0-6.0-2.0-0.9","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","37","138121","0.0-6.0-2.0-0.10","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","38","140641","0.0-6.0-2.0-0.11","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","39","143161","0.0-6.0-2.0-0.12","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","40","145680","0.0-6.0-2.0-0.13","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","41","148201","0.0-6.0-2.0-0.14","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","42","150721","0.0-6.0-2.0-0.15","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","43","153240","0.0-6.0-2.0-0.16","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","44","155761","0.0-6.0-2.0-0.17","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","45","158280","0.0-6.0-2.0-0.18","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","46","160800","0.0-6.0-2.0-0.19","syk56tymeh","one_one","1","direct_first","1","UN04PH03","0","25","1","1","1","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
