"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","4294","0.0-0.0","t8rz6ww85w","one_one","1","direct_first","1","nn06en05","1","21","1","1","3","2","Die angezeigten Bilder waren zum Glück nicht so schlimm, wie in der Beschreibung beschrieben (besonders über das Fehlen von leidenden Tieren bin ich froh). Ansonsten ist mir aufgefallen, dass nur 2(?) der mit den Bildern gezeigten Zeichen, später auch in der Assoziation vorkamen. Da ich noch wusste, dass die jeweiligen Zeichen anfangs mit negativ empfundenen Bildern gezeigt wurden, habe ich versucht, meine Einschätzung des Zeichens unabhängig davon zu machen (wobei ich natürlich nicht weiß, ob mir das auch tatsächlich gelungen ist). Bei der Einschätzung der Silben kam es mir gefühlt nur auf mein Bauchgefühl und eigenen Geschmack an (ob ich z.B. den Klang der Silbe mochte).","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","80986","0.0-1.0","t8rz6ww85w","one_one","1","direct_first","1","nn06en05","1","21","1","1","3","2","Die angezeigten Bilder waren zum Glück nicht so schlimm, wie in der Beschreibung beschrieben (besonders über das Fehlen von leidenden Tieren bin ich froh). Ansonsten ist mir aufgefallen, dass nur 2(?) der mit den Bildern gezeigten Zeichen, später auch in der Assoziation vorkamen. Da ich noch wusste, dass die jeweiligen Zeichen anfangs mit negativ empfundenen Bildern gezeigt wurden, habe ich versucht, meine Einschätzung des Zeichens unabhängig davon zu machen (wobei ich natürlich nicht weiß, ob mir das auch tatsächlich gelungen ist). Bei der Einschätzung der Silben kam es mir gefühlt nur auf mein Bauchgefühl und eigenen Geschmack an (ob ich z.B. den Klang der Silbe mochte).","0","1","0","76653.90999987721","text/information.html","","","","","","","","","","","","",""
"","external-html","2","94175","0.0-2.0","t8rz6ww85w","one_one","1","direct_first","1","nn06en05","1","21","1","1","3","2","Die angezeigten Bilder waren zum Glück nicht so schlimm, wie in der Beschreibung beschrieben (besonders über das Fehlen von leidenden Tieren bin ich froh). Ansonsten ist mir aufgefallen, dass nur 2(?) der mit den Bildern gezeigten Zeichen, später auch in der Assoziation vorkamen. Da ich noch wusste, dass die jeweiligen Zeichen anfangs mit negativ empfundenen Bildern gezeigt wurden, habe ich versucht, meine Einschätzung des Zeichens unabhängig davon zu machen (wobei ich natürlich nicht weiß, ob mir das auch tatsächlich gelungen ist). Bei der Einschätzung der Silben kam es mir gefühlt nur auf mein Bauchgefühl und eigenen Geschmack an (ob ich z.B. den Klang der Silbe mochte).","0","1","0","13131.060000043362","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","240326","0.0-3.0","t8rz6ww85w","one_one","1","direct_first","1","nn06en05","1","21","1","1","3","2","Die angezeigten Bilder waren zum Glück nicht so schlimm, wie in der Beschreibung beschrieben (besonders über das Fehlen von leidenden Tieren bin ich froh). Ansonsten ist mir aufgefallen, dass nur 2(?) der mit den Bildern gezeigten Zeichen, später auch in der Assoziation vorkamen. Da ich noch wusste, dass die jeweiligen Zeichen anfangs mit negativ empfundenen Bildern gezeigt wurden, habe ich versucht, meine Einschätzung des Zeichens unabhängig davon zu machen (wobei ich natürlich nicht weiß, ob mir das auch tatsächlich gelungen ist). Bei der Einschätzung der Silben kam es mir gefühlt nur auf mein Bauchgefühl und eigenen Geschmack an (ob ich z.B. den Klang der Silbe mochte).","0","1","0","146148.98500032723","","{""codeword_enter"":""nn06en05""}","","","","","","","","","","","",""
"","survey-html-form","4","259426","0.0-4.0","t8rz6ww85w","one_one","1","direct_first","1","nn06en05","1","21","1","1","3","2","Die angezeigten Bilder waren zum Glück nicht so schlimm, wie in der Beschreibung beschrieben (besonders über das Fehlen von leidenden Tieren bin ich froh). Ansonsten ist mir aufgefallen, dass nur 2(?) der mit den Bildern gezeigten Zeichen, später auch in der Assoziation vorkamen. Da ich noch wusste, dass die jeweiligen Zeichen anfangs mit negativ empfundenen Bildern gezeigt wurden, habe ich versucht, meine Einschätzung des Zeichens unabhängig davon zu machen (wobei ich natürlich nicht weiß, ob mir das auch tatsächlich gelungen ist). Bei der Einschätzung der Silben kam es mir gefühlt nur auf mein Bauchgefühl und eigenen Geschmack an (ob ich z.B. den Klang der Silbe mochte).","0","1","0","19097.845000214875","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","276740","0.0-5.0","t8rz6ww85w","one_one","1","direct_first","1","nn06en05","1","21","1","1","3","2","Die angezeigten Bilder waren zum Glück nicht so schlimm, wie in der Beschreibung beschrieben (besonders über das Fehlen von leidenden Tieren bin ich froh). Ansonsten ist mir aufgefallen, dass nur 2(?) der mit den Bildern gezeigten Zeichen, später auch in der Assoziation vorkamen. Da ich noch wusste, dass die jeweiligen Zeichen anfangs mit negativ empfundenen Bildern gezeigt wurden, habe ich versucht, meine Einschätzung des Zeichens unabhängig davon zu machen (wobei ich natürlich nicht weiß, ob mir das auch tatsächlich gelungen ist). Bei der Einschätzung der Silben kam es mir gefühlt nur auf mein Bauchgefühl und eigenen Geschmack an (ob ich z.B. den Klang der Silbe mochte).","0","1","0","17312.910000327975","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","280744","0.0-6.0-0.0-0.0","t8rz6ww85w","one_one","1","direct_first","1","nn06en05","1","21","1","1","3","2","Die angezeigten Bilder waren zum Glück nicht so schlimm, wie in der Beschreibung beschrieben (besonders über das Fehlen von leidenden Tieren bin ich froh). Ansonsten ist mir aufgefallen, dass nur 2(?) der mit den Bildern gezeigten Zeichen, später auch in der Assoziation vorkamen. Da ich noch wusste, dass die jeweiligen Zeichen anfangs mit negativ empfundenen Bildern gezeigt wurden, habe ich versucht, meine Einschätzung des Zeichens unabhängig davon zu machen (wobei ich natürlich nicht weiß, ob mir das auch tatsächlich gelungen ist). Bei der Einschätzung der Silben kam es mir gefühlt nur auf mein Bauchgefühl und eigenen Geschmack an (ob ich z.B. den Klang der Silbe mochte).","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","7","283247","0.0-6.0-0.0-0.1","t8rz6ww85w","one_one","1","direct_first","1","nn06en05","1","21","1","1","3","2","Die angezeigten Bilder waren zum Glück nicht so schlimm, wie in der Beschreibung beschrieben (besonders über das Fehlen von leidenden Tieren bin ich froh). Ansonsten ist mir aufgefallen, dass nur 2(?) der mit den Bildern gezeigten Zeichen, später auch in der Assoziation vorkamen. Da ich noch wusste, dass die jeweiligen Zeichen anfangs mit negativ empfundenen Bildern gezeigt wurden, habe ich versucht, meine Einschätzung des Zeichens unabhängig davon zu machen (wobei ich natürlich nicht weiß, ob mir das auch tatsächlich gelungen ist). Bei der Einschätzung der Silben kam es mir gefühlt nur auf mein Bauchgefühl und eigenen Geschmack an (ob ich z.B. den Klang der Silbe mochte).","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","8","285750","0.0-6.0-0.0-0.2","t8rz6ww85w","one_one","1","direct_first","1","nn06en05","1","21","1","1","3","2","Die angezeigten Bilder waren zum Glück nicht so schlimm, wie in der Beschreibung beschrieben (besonders über das Fehlen von leidenden Tieren bin ich froh). Ansonsten ist mir aufgefallen, dass nur 2(?) der mit den Bildern gezeigten Zeichen, später auch in der Assoziation vorkamen. Da ich noch wusste, dass die jeweiligen Zeichen anfangs mit negativ empfundenen Bildern gezeigt wurden, habe ich versucht, meine Einschätzung des Zeichens unabhängig davon zu machen (wobei ich natürlich nicht weiß, ob mir das auch tatsächlich gelungen ist). Bei der Einschätzung der Silben kam es mir gefühlt nur auf mein Bauchgefühl und eigenen Geschmack an (ob ich z.B. den Klang der Silbe mochte).","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","9","288253","0.0-6.0-0.0-0.3","t8rz6ww85w","one_one","1","direct_first","1","nn06en05","1","21","1","1","3","2","Die angezeigten Bilder waren zum Glück nicht so schlimm, wie in der Beschreibung beschrieben (besonders über das Fehlen von leidenden Tieren bin ich froh). Ansonsten ist mir aufgefallen, dass nur 2(?) der mit den Bildern gezeigten Zeichen, später auch in der Assoziation vorkamen. Da ich noch wusste, dass die jeweiligen Zeichen anfangs mit negativ empfundenen Bildern gezeigt wurden, habe ich versucht, meine Einschätzung des Zeichens unabhängig davon zu machen (wobei ich natürlich nicht weiß, ob mir das auch tatsächlich gelungen ist). Bei der Einschätzung der Silben kam es mir gefühlt nur auf mein Bauchgefühl und eigenen Geschmack an (ob ich z.B. den Klang der Silbe mochte).","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
