"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","9268","0.0-0.0","t9a1lfnukq","one_one","1","direct_first","1","ar05in07","1","31","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","165588","0.0-1.0","t9a1lfnukq","one_one","1","direct_first","1","ar05in07","1","31","1","1","3","1","","0","1","0","156263.6750000529","text/information.html","","","","","","","","","","","","",""
"","external-html","2","2884246","0.0-2.0","t9a1lfnukq","one_one","1","direct_first","1","ar05in07","1","31","1","1","3","1","","0","1","0","2718565.7150000334","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","2988820","0.0-3.0","t9a1lfnukq","one_one","1","direct_first","1","ar05in07","1","31","1","1","3","1","","0","1","0","104571.01499987766","","{""codeword_enter"":""ar05in07""}","","","","","","","","","","","",""
"","survey-html-form","4","3016465","0.0-4.0","t9a1lfnukq","one_one","1","direct_first","1","ar05in07","1","31","1","1","3","1","","0","1","0","27641.860000090674","","{""age"":""31"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","3040199","0.0-5.0","t9a1lfnukq","one_one","1","direct_first","1","ar05in07","1","31","1","1","3","1","","0","1","0","23731.97999992408","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","3044233","0.0-6.0-0.0-0.0","t9a1lfnukq","one_one","1","direct_first","1","ar05in07","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","7","3046753","0.0-6.0-0.0-0.1","t9a1lfnukq","one_one","1","direct_first","1","ar05in07","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","8","3049285","0.0-6.0-0.0-0.2","t9a1lfnukq","one_one","1","direct_first","1","ar05in07","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","9","3051814","0.0-6.0-0.0-0.3","t9a1lfnukq","one_one","1","direct_first","1","ar05in07","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
