"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","4017","0.0-0.0","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","67324","0.0-1.0","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","63069.27999999607","text/information.html","","","","","","","","","","","","",""
"","external-html","2","90893","0.0-2.0","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","23409.210000012536","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","188877","0.0-3.0","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","97974.6200000518","","{""codeword_enter"":""le07as20""}","","","","","","","","","","","",""
"","survey-html-form","4","205787","0.0-4.0","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","16895.850000029895","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","208298","0.0-5.0","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","2502.9499999945983","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","212311","0.0-6.0-0.0-0.0","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","7","214822","0.0-6.0-0.0-0.1","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","8","217327","0.0-6.0-0.0-0.2","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","9","219833","0.0-6.0-0.0-0.3","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","10","222340","0.0-6.0-0.0-0.4","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","11","224846","0.0-6.0-0.0-0.5","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","12","227354","0.0-6.0-0.0-0.6","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","13","229863","0.0-6.0-0.0-0.7","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","14","232368","0.0-6.0-0.0-0.8","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","15","234874","0.0-6.0-0.0-0.9","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","16","237380","0.0-6.0-0.0-0.10","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","17","239889","0.0-6.0-0.0-0.11","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","18","242395","0.0-6.0-0.0-0.12","tlqe0hbqpl","one_one","1","indirect_first","0","le07as20","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
