"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","2798","0.0-0.0","tpq63n8df6","one_one","1","direct_first","1","EL08ER12","0","19","1","1","1","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","6338","0.0-1.0","tpq63n8df6","one_one","1","direct_first","1","EL08ER12","0","19","1","1","1","1","","0","1","0","3524.1350000724196","text/information.html","","","","","","","","","","","","",""
"","external-html","2","96450","0.0-2.0","tpq63n8df6","one_one","1","direct_first","1","EL08ER12","0","19","1","1","1","1","","0","1","0","90020.20500018261","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","146693","0.0-3.0","tpq63n8df6","one_one","1","direct_first","1","EL08ER12","0","19","1","1","1","1","","0","1","0","50237.87500010803","","{""codeword_enter"":""EL08ER12""}","","","","","","","","","","","",""
"","survey-html-form","4","171438","0.0-4.0","tpq63n8df6","one_one","1","direct_first","1","EL08ER12","0","19","1","1","1","1","","0","1","0","24740.209999959916","","{""age"":""19"",""education"":""1"",""subject"":""1"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","184312","0.0-5.0","tpq63n8df6","one_one","1","direct_first","1","EL08ER12","0","19","1","1","1","1","","0","1","0","12871.724999975413","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","188341","0.0-6.0-0.0-0.0","tpq63n8df6","one_one","1","direct_first","1","EL08ER12","0","19","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","7","190873","0.0-6.0-0.0-0.1","tpq63n8df6","one_one","1","direct_first","1","EL08ER12","0","19","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","8","193391","0.0-6.0-0.0-0.2","tpq63n8df6","one_one","1","direct_first","1","EL08ER12","0","19","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","9","195906","0.0-6.0-0.0-0.3","tpq63n8df6","one_one","1","direct_first","1","EL08ER12","0","19","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
