"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","7691","0.0-0.0","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","49112","0.0-1.0","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","41376.58999999985","text/information.html","","","","","","","","","","","","",""
"","external-html","2","60568","0.0-2.0","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","11406.110000098124","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","136343","0.0-3.0","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","75769.68499994837","","{""codeword_enter"":""an05do20""}","","","","","","","","","","","",""
"","survey-html-form","4","155449","0.0-4.0","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","19099.264999851584","","{""age"":""25"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","162033","0.0-5.0","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","6580.184999853373","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","166041","0.0-6.0-0.0-0.0","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","7","168546","0.0-6.0-0.0-0.1","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","8","171051","0.0-6.0-0.0-0.2","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","9","173556","0.0-6.0-0.0-0.3","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","10","176062","0.0-6.0-0.0-0.4","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","11","178566","0.0-6.0-0.0-0.5","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","12","181071","0.0-6.0-0.0-0.6","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9560.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","13","183576","0.0-6.0-0.0-0.7","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","14","186081","0.0-6.0-0.0-0.8","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","15","188586","0.0-6.0-0.0-0.9","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","16","191090","0.0-6.0-0.0-0.10","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","17","193596","0.0-6.0-0.0-0.11","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","18","196102","0.0-6.0-0.0-0.12","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","19","198607","0.0-6.0-0.0-0.13","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","20","201110","0.0-6.0-0.0-0.14","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","21","203616","0.0-6.0-0.0-0.15","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","22","206121","0.0-6.0-0.0-0.16","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","23","208626","0.0-6.0-0.0-0.17","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","24","211131","0.0-6.0-0.0-0.18","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","25","213635","0.0-6.0-0.0-0.19","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","survey-html-form","26","218121","0.0-6.0-1.0","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","3982.1450000163168","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","222128","0.0-6.0-2.0-0.0","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","28","224634","0.0-6.0-2.0-0.1","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","29","227138","0.0-6.0-2.0-0.2","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","30","229641","0.0-6.0-2.0-0.3","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","31","232146","0.0-6.0-2.0-0.4","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","32","234649","0.0-6.0-2.0-0.5","udpe7l7gfz","many_one","0","direct_first","1","an05do20","0","25","1","0","3","1","Für jemanden, der Chinesisch sprechen und lesen kann, war diese Studie äußerst merkwürdig. Diese teilweise nicht existierenden Zeichen bzw. die inkorrekte Aussprache zu sehen, hat sehr irritiert und abgelenkt. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
