"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","6543","0.0-0.0","v9yb3nf2px","one_one","1","indirect_first","0","nnelin12","0","29","1","1","3","1","Man erkennt einige der chinesichen Zeichen in der Skalen-Abfrage wieder und erinnert sich automatisch an die zuvor hier zugeordneten Fotos. Das verhindert eine ""intuitive"" Entscheidung, weil man weiß, was jetzt ""erwartet"" wird.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","35813","0.0-1.0","v9yb3nf2px","one_one","1","indirect_first","0","nnelin12","0","29","1","1","3","1","Man erkennt einige der chinesichen Zeichen in der Skalen-Abfrage wieder und erinnert sich automatisch an die zuvor hier zugeordneten Fotos. Das verhindert eine ""intuitive"" Entscheidung, weil man weiß, was jetzt ""erwartet"" wird.","0","1","0","29243.139999976847","text/information.html","","","","","","","","","","","","",""
"","external-html","2","53349","0.0-2.0","v9yb3nf2px","one_one","1","indirect_first","0","nnelin12","0","29","1","1","3","1","Man erkennt einige der chinesichen Zeichen in der Skalen-Abfrage wieder und erinnert sich automatisch an die zuvor hier zugeordneten Fotos. Das verhindert eine ""intuitive"" Entscheidung, weil man weiß, was jetzt ""erwartet"" wird.","0","1","0","17494.874999974854","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","92588","0.0-3.0","v9yb3nf2px","one_one","1","indirect_first","0","nnelin12","0","29","1","1","3","1","Man erkennt einige der chinesichen Zeichen in der Skalen-Abfrage wieder und erinnert sich automatisch an die zuvor hier zugeordneten Fotos. Das verhindert eine ""intuitive"" Entscheidung, weil man weiß, was jetzt ""erwartet"" wird.","0","1","0","39236.55500001041","","{""codeword_enter"":""nnelin12""}","","","","","","","","","","","",""
"","survey-html-form","4","111026","0.0-4.0","v9yb3nf2px","one_one","1","indirect_first","0","nnelin12","0","29","1","1","3","1","Man erkennt einige der chinesichen Zeichen in der Skalen-Abfrage wieder und erinnert sich automatisch an die zuvor hier zugeordneten Fotos. Das verhindert eine ""intuitive"" Entscheidung, weil man weiß, was jetzt ""erwartet"" wird.","0","1","0","18435.88499998441","","{""age"":""29"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","125797","0.0-5.0","v9yb3nf2px","one_one","1","indirect_first","0","nnelin12","0","29","1","1","3","1","Man erkennt einige der chinesichen Zeichen in der Skalen-Abfrage wieder und erinnert sich automatisch an die zuvor hier zugeordneten Fotos. Das verhindert eine ""intuitive"" Entscheidung, weil man weiß, was jetzt ""erwartet"" wird.","0","1","0","14769.085000036284","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","129804","0.0-6.0-0.0-0.0","v9yb3nf2px","one_one","1","indirect_first","0","nnelin12","0","29","1","1","3","1","Man erkennt einige der chinesichen Zeichen in der Skalen-Abfrage wieder und erinnert sich automatisch an die zuvor hier zugeordneten Fotos. Das verhindert eine ""intuitive"" Entscheidung, weil man weiß, was jetzt ""erwartet"" wird.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","7","132317","0.0-6.0-0.0-0.1","v9yb3nf2px","one_one","1","indirect_first","0","nnelin12","0","29","1","1","3","1","Man erkennt einige der chinesichen Zeichen in der Skalen-Abfrage wieder und erinnert sich automatisch an die zuvor hier zugeordneten Fotos. Das verhindert eine ""intuitive"" Entscheidung, weil man weiß, was jetzt ""erwartet"" wird.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","8","134829","0.0-6.0-0.0-0.2","v9yb3nf2px","one_one","1","indirect_first","0","nnelin12","0","29","1","1","3","1","Man erkennt einige der chinesichen Zeichen in der Skalen-Abfrage wieder und erinnert sich automatisch an die zuvor hier zugeordneten Fotos. Das verhindert eine ""intuitive"" Entscheidung, weil man weiß, was jetzt ""erwartet"" wird.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","9","137338","0.0-6.0-0.0-0.3","v9yb3nf2px","one_one","1","indirect_first","0","nnelin12","0","29","1","1","3","1","Man erkennt einige der chinesichen Zeichen in der Skalen-Abfrage wieder und erinnert sich automatisch an die zuvor hier zugeordneten Fotos. Das verhindert eine ""intuitive"" Entscheidung, weil man weiß, was jetzt ""erwartet"" wird.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
