"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","8112","0.0-0.0","vfs2r4l8qp","many_one","0","indirect_first","0","158463NM","0","19","1","1","3","1","Ich musste mich erst an die Geschwindigkeit gewöhnen, aber es ist schon interessant gewesen.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","20646","0.0-1.0","vfs2r4l8qp","many_one","0","indirect_first","0","158463NM","0","19","1","1","3","1","Ich musste mich erst an die Geschwindigkeit gewöhnen, aber es ist schon interessant gewesen.","0","1","0","12420.215000049211","text/information.html","","","","","","","","","","","","",""
"","external-html","2","30051","0.0-2.0","vfs2r4l8qp","many_one","0","indirect_first","0","158463NM","0","19","1","1","3","1","Ich musste mich erst an die Geschwindigkeit gewöhnen, aber es ist schon interessant gewesen.","0","1","0","9202.179999905638","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","69808","0.0-3.0","vfs2r4l8qp","many_one","0","indirect_first","0","158463NM","0","19","1","1","3","1","Ich musste mich erst an die Geschwindigkeit gewöhnen, aber es ist schon interessant gewesen.","0","1","0","39754.13999997545","","{""codeword_enter"":""158463NM""}","","","","","","","","","","","",""
"","survey-html-form","4","95959","0.0-4.0","vfs2r4l8qp","many_one","0","indirect_first","0","158463NM","0","19","1","1","3","1","Ich musste mich erst an die Geschwindigkeit gewöhnen, aber es ist schon interessant gewesen.","0","1","0","26149.940000032075","","{""age"":""19"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","112114","0.0-5.0","vfs2r4l8qp","many_one","0","indirect_first","0","158463NM","0","19","1","1","3","1","Ich musste mich erst an die Geschwindigkeit gewöhnen, aber es ist schon interessant gewesen.","0","1","0","16154.065000009723","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","116131","0.0-6.0-0.0-0.0","vfs2r4l8qp","many_one","0","indirect_first","0","158463NM","0","19","1","1","3","1","Ich musste mich erst an die Geschwindigkeit gewöhnen, aber es ist schon interessant gewesen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","7","118633","0.0-6.0-0.0-0.1","vfs2r4l8qp","many_one","0","indirect_first","0","158463NM","0","19","1","1","3","1","Ich musste mich erst an die Geschwindigkeit gewöhnen, aber es ist schon interessant gewesen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","8","121135","0.0-6.0-0.0-0.2","vfs2r4l8qp","many_one","0","indirect_first","0","158463NM","0","19","1","1","3","1","Ich musste mich erst an die Geschwindigkeit gewöhnen, aber es ist schon interessant gewesen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","9","123638","0.0-6.0-0.0-0.3","vfs2r4l8qp","many_one","0","indirect_first","0","158463NM","0","19","1","1","3","1","Ich musste mich erst an die Geschwindigkeit gewöhnen, aber es ist schon interessant gewesen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
