"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","4045","0.0-0.0","vhqac8chyp","many_one","0","direct_first","1","en07an17","0","22","1","1","3","2","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","46258","0.0-1.0","vhqac8chyp","many_one","0","direct_first","1","en07an17","0","22","1","1","3","2","","0","1","0","42154","text/information.html","","","","","","","","","","","","",""
"","external-html","2","57795","0.0-2.0","vhqac8chyp","many_one","0","direct_first","1","en07an17","0","22","1","1","3","2","","0","1","0","11410","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","97080","0.0-3.0","vhqac8chyp","many_one","0","direct_first","1","en07an17","0","22","1","1","3","2","","0","1","0","39274","","{""codeword_enter"":""en07an17""}","","","","","","","","","","","",""
"","survey-html-form","4","118540","0.0-4.0","vhqac8chyp","many_one","0","direct_first","1","en07an17","0","22","1","1","3","2","","0","1","0","21447","","{""age"":""22"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","123315","0.0-5.0","vhqac8chyp","many_one","0","direct_first","1","en07an17","0","22","1","1","3","2","","0","1","0","4767","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","127347","0.0-6.0-0.0-0.0","vhqac8chyp","many_one","0","direct_first","1","en07an17","0","22","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","7","129886","0.0-6.0-0.0-0.1","vhqac8chyp","many_one","0","direct_first","1","en07an17","0","22","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9560.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","8","132427","0.0-6.0-0.0-0.2","vhqac8chyp","many_one","0","direct_first","1","en07an17","0","22","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","9","134954","0.0-6.0-0.0-0.3","vhqac8chyp","many_one","0","direct_first","1","en07an17","0","22","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","10","137477","0.0-6.0-0.0-0.4","vhqac8chyp","many_one","0","direct_first","1","en07an17","0","22","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
