"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","10128","0.0-0.0","wv2933l494","one_one","1","direct_first","1","ER03WE05","0","26","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","35501","0.0-1.0","wv2933l494","one_one","1","direct_first","1","ER03WE05","0","26","1","1","3","1","","0","1","0","25274.49500000148","text/information.html","","","","","","","","","","","","",""
"","external-html","2","42664","0.0-2.0","wv2933l494","one_one","1","direct_first","1","ER03WE05","0","26","1","1","3","1","","0","1","0","7076.854999999341","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","82406","0.0-3.0","wv2933l494","one_one","1","direct_first","1","ER03WE05","0","26","1","1","3","1","","0","1","0","39735.47999999937","","{""codeword_enter"":""ER03WE05""}","","","","","","","","","","","",""
"","survey-html-form","4","104323","0.0-4.0","wv2933l494","one_one","1","direct_first","1","ER03WE05","0","26","1","1","3","1","","0","1","0","21909.449999999197","","{""age"":""26"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","112182","0.0-5.0","wv2933l494","one_one","1","direct_first","1","ER03WE05","0","26","1","1","3","1","","0","1","0","7854.409999999916","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","116231","0.0-6.0-0.0-0.0","wv2933l494","one_one","1","direct_first","1","ER03WE05","0","26","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","7","118762","0.0-6.0-0.0-0.1","wv2933l494","one_one","1","direct_first","1","ER03WE05","0","26","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","8","121295","0.0-6.0-0.0-0.2","wv2933l494","one_one","1","direct_first","1","ER03WE05","0","26","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","9","123824","0.0-6.0-0.0-0.3","wv2933l494","one_one","1","direct_first","1","ER03WE05","0","26","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
