"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","20987","0.0-0.0","xkqsx2orfx","one_one","1","indirect_first","0","ni05al18","1","21","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","25251","0.0-1.0","xkqsx2orfx","one_one","1","indirect_first","0","ni05al18","1","21","1","1","3","1","","0","1","0","4208.765000000312","text/information.html","","","","","","","","","","","","",""
"","external-html","2","35688","0.0-2.0","xkqsx2orfx","one_one","1","indirect_first","0","ni05al18","1","21","1","1","3","1","","0","1","0","10337.249999999585","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","85671","0.0-3.0","xkqsx2orfx","one_one","1","indirect_first","0","ni05al18","1","21","1","1","3","1","","0","1","0","49975.55000000011","","{""codeword_enter"":""ni05al18""}","","","","","","","","","","","",""
"","survey-html-form","4","100296","0.0-4.0","xkqsx2orfx","one_one","1","indirect_first","0","ni05al18","1","21","1","1","3","1","","0","1","0","14619.015000000218","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","111757","0.0-5.0","xkqsx2orfx","one_one","1","indirect_first","0","ni05al18","1","21","1","1","3","1","","0","1","0","11454.795000000566","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","115784","0.0-6.0-0.0-0.0","xkqsx2orfx","one_one","1","indirect_first","0","ni05al18","1","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9560.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","7","118307","0.0-6.0-0.0-0.1","xkqsx2orfx","one_one","1","indirect_first","0","ni05al18","1","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","8","120823","0.0-6.0-0.0-0.2","xkqsx2orfx","one_one","1","indirect_first","0","ni05al18","1","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","9","123348","0.0-6.0-0.0-0.3","xkqsx2orfx","one_one","1","indirect_first","0","ni05al18","1","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
