"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","4453","0.0-0.0","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","53612","0.0-1.0","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","49108","text/information.html","","","","","","","","","","","","",""
"","external-html","2","72711","0.0-2.0","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","18982","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","167510","0.0-3.0","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","94795","","{""codeword_enter"":""rt03rt15""}","","","","","","","","","","","",""
"","survey-html-form","4","187739","0.0-4.0","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","20225","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","206005","0.0-5.0","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","18264","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","210030","0.0-6.0-0.0-0.0","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","7","212563","0.0-6.0-0.0-0.1","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","8","215097","0.0-6.0-0.0-0.2","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","9","217628","0.0-6.0-0.0-0.3","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","10","220146","0.0-6.0-0.0-0.4","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","11","222676","0.0-6.0-0.0-0.5","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","12","225185","0.0-6.0-0.0-0.6","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","13","227712","0.0-6.0-0.0-0.7","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","14","230244","0.0-6.0-0.0-0.8","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","15","232753","0.0-6.0-0.0-0.9","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","16","235277","0.0-6.0-0.0-0.10","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","17","237782","0.0-6.0-0.0-0.11","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","18","240292","0.0-6.0-0.0-0.12","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","19","242800","0.0-6.0-0.0-0.13","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","20","245309","0.0-6.0-0.0-0.14","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","21","247839","0.0-6.0-0.0-0.15","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","22","250348","0.0-6.0-0.0-0.16","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","23","252875","0.0-6.0-0.0-0.17","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","24","255407","0.0-6.0-0.0-0.18","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","25","257917","0.0-6.0-0.0-0.19","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","survey-html-form","26","260801","0.0-6.0-1.0","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","2376","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","264824","0.0-6.0-2.0-0.0","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","28","267355","0.0-6.0-2.0-0.1","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","29","269863","0.0-6.0-2.0-0.2","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","30","272373","0.0-6.0-2.0-0.3","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","31","274882","0.0-6.0-2.0-0.4","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","32","277401","0.0-6.0-2.0-0.5","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","33","279920","0.0-6.0-2.0-0.6","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","34","282429","0.0-6.0-2.0-0.7","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","35","284951","0.0-6.0-2.0-0.8","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","36","287470","0.0-6.0-2.0-0.9","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","37","289988","0.0-6.0-2.0-0.10","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","38","292517","0.0-6.0-2.0-0.11","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","39","295036","0.0-6.0-2.0-0.12","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","40","297569","0.0-6.0-2.0-0.13","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","41","300085","0.0-6.0-2.0-0.14","xygobjvobv","many_one","0","direct_first","1","rt03rt15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS7.png","","","","",""
