"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","35028","0.0-0.0","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","68682","0.0-1.0","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","33284.999999999985","text/information.html","","","","","","","","","","","","",""
"","external-html","2","88837","0.0-2.0","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","19976","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","153335","0.0-3.0","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","64495","","{""codeword_enter"":""er08ef29""}","","","","","","","","","","","",""
"","survey-html-form","4","168169","0.0-4.0","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","14831","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","170458","0.0-5.0","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","2287","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","174464","0.0-6.0-0.0-0.0","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","7","176968","0.0-6.0-0.0-0.1","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","8","179471","0.0-6.0-0.0-0.2","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","9","181974","0.0-6.0-0.0-0.3","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","10","184478","0.0-6.0-0.0-0.4","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","11","186982","0.0-6.0-0.0-0.5","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","12","189485","0.0-6.0-0.0-0.6","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","13","191989","0.0-6.0-0.0-0.7","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","14","194493","0.0-6.0-0.0-0.8","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","15","196996","0.0-6.0-0.0-0.9","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","16","199500","0.0-6.0-0.0-0.10","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","17","202003","0.0-6.0-0.0-0.11","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","18","204507","0.0-6.0-0.0-0.12","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","19","207011","0.0-6.0-0.0-0.13","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","20","209514","0.0-6.0-0.0-0.14","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","21","212023","0.0-6.0-0.0-0.15","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","22","214527","0.0-6.0-0.0-0.16","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","23","217036","0.0-6.0-0.0-0.17","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","24","219540","0.0-6.0-0.0-0.18","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","25","222048","0.0-6.0-0.0-0.19","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","survey-html-form","26","224279","0.0-6.0-1.0","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","1727.999999999971","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","228282","0.0-6.0-2.0-0.0","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","28","230786","0.0-6.0-2.0-0.1","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","29","233289","0.0-6.0-2.0-0.2","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","30","235793","0.0-6.0-2.0-0.3","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","31","238297","0.0-6.0-2.0-0.4","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","32","240801","0.0-6.0-2.0-0.5","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","33","243304","0.0-6.0-2.0-0.6","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","34","245808","0.0-6.0-2.0-0.7","ybbwtrgqb1","one_one","1","direct_first","1","er08ef29","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
