"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","16580","0.0-0.0","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","76617","0.0-1.0","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","59938","text/information.html","","","","","","","","","","","","",""
"","external-html","2","107180","0.0-2.0","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","30477","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","153959","0.0-3.0","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","46772","","{""codeword_enter"":""tz06ng08""}","","","","","","","","","","","",""
"","survey-html-form","4","171427","0.0-4.0","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","17464","","{""age"":""25"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","186861","0.0-5.0","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","15432","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","190878","0.0-6.0-0.0-0.0","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","7","193388","0.0-6.0-0.0-0.1","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","8","195903","0.0-6.0-0.0-0.2","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","9","198437","0.0-6.0-0.0-0.3","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","10","200958","0.0-6.0-0.0-0.4","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","11","203498","0.0-6.0-0.0-0.5","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","12","206037","0.0-6.0-0.0-0.6","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","13","208568","0.0-6.0-0.0-0.7","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","14","211098","0.0-6.0-0.0-0.8","yzbdb1jnlr","many_one","0","direct_first","1","tz06ng08","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
