"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","6435","0.0-0.0","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","62274","0.0-1.0","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","55797","text/information.html","","","","","","","","","","","","",""
"","external-html","2","88158","0.0-2.0","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","25801","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","135151","0.0-3.0","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","46988","","{""codeword_enter"":""la06us30""}","","","","","","","","","","","",""
"","survey-html-form","4","165777","0.0-4.0","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","30620","","{""age"":""19"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","174048","0.0-5.0","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","8268","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","178054","0.0-6.0-0.0-0.0","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","7","180563","0.0-6.0-0.0-0.1","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","8","183069","0.0-6.0-0.0-0.2","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","9","185578","0.0-6.0-0.0-0.3","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","10","188082","0.0-6.0-0.0-0.4","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","11","190598","0.0-6.0-0.0-0.5","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","12","193108","0.0-6.0-0.0-0.6","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","13","195613","0.0-6.0-0.0-0.7","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","14","198118","0.0-6.0-0.0-0.8","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","15","200621","0.0-6.0-0.0-0.9","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","16","203130","0.0-6.0-0.0-0.10","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","17","205633","0.0-6.0-0.0-0.11","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","18","208143","0.0-6.0-0.0-0.12","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","19","210652","0.0-6.0-0.0-0.13","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","20","213162","0.0-6.0-0.0-0.14","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","21","215668","0.0-6.0-0.0-0.15","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","22","218177","0.0-6.0-0.0-0.16","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","23","220684","0.0-6.0-0.0-0.17","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","24","223189","0.0-6.0-0.0-0.18","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","25","225696","0.0-6.0-0.0-0.19","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","survey-html-form","26","240092","0.0-6.0-1.0","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","13894","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","244103","0.0-6.0-2.0-0.0","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","28","246608","0.0-6.0-2.0-0.1","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","29","249117","0.0-6.0-2.0-0.2","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","30","251619","0.0-6.0-2.0-0.3","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","31","254126","0.0-6.0-2.0-0.4","zblz46rx0s","many_one","0","direct_first","1","la06us30","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
