"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","26757","0.0-0.0","zl57t700es","one_one","1","direct_first","1","rt06el08","0","19","1","0","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","69566","0.0-1.0","zl57t700es","one_one","1","direct_first","1","rt06el08","0","19","1","0","3","1","","0","1","0","42668.46500000001","text/information.html","","","","","","","","","","","","",""
"","external-html","2","79413","0.0-2.0","zl57t700es","one_one","1","direct_first","1","rt06el08","0","19","1","0","3","1","","0","1","0","9774.544999999984","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","149901","0.0-3.0","zl57t700es","one_one","1","direct_first","1","rt06el08","0","19","1","0","3","1","","0","1","0","70484.36500000002","","{""codeword_enter"":""rt06el08""}","","","","","","","","","","","",""
"","survey-html-form","4","169775","0.0-4.0","zl57t700es","one_one","1","direct_first","1","rt06el08","0","19","1","0","3","1","","0","1","0","19867.83500000002","","{""age"":""19"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","187497","0.0-5.0","zl57t700es","one_one","1","direct_first","1","rt06el08","0","19","1","0","3","1","","0","1","0","17718.389999999985","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","191511","0.0-6.0-0.0-0.0","zl57t700es","one_one","1","direct_first","1","rt06el08","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2900.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","7","194021","0.0-6.0-0.0-0.1","zl57t700es","one_one","1","direct_first","1","rt06el08","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","8","196530","0.0-6.0-0.0-0.2","zl57t700es","one_one","1","direct_first","1","rt06el08","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","9","199037","0.0-6.0-0.0-0.3","zl57t700es","one_one","1","direct_first","1","rt06el08","0","19","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
