"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","4416","0.0-0.0","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","50888","0.0-1.0","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","46426.46999983117","text/information.html","","","","","","","","","","","","",""
"","external-html","2","69727","0.0-2.0","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","18756.88000023365","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","111547","0.0-3.0","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","41819.219999946654","","{""codeword_enter"":""es05ad23""}","","","","","","","","","","","",""
"","survey-html-form","4","131635","0.0-4.0","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","20084.71000008285","","{""age"":""27"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","140588","0.0-5.0","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","8951.929999981076","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","144597","0.0-6.0-0.0-0.0","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","7","147104","0.0-6.0-0.0-0.1","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","8","149616","0.0-6.0-0.0-0.2","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","9","152128","0.0-6.0-0.0-0.3","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","10","154640","0.0-6.0-0.0-0.4","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","11","157152","0.0-6.0-0.0-0.5","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","12","159665","0.0-6.0-0.0-0.6","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","13","162176","0.0-6.0-0.0-0.7","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","14","164688","0.0-6.0-0.0-0.8","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","15","167214","0.0-6.0-0.0-0.9","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","16","169720","0.0-6.0-0.0-0.10","03rysffm8e","many_one","0","indirect_first","0","es05ad23","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
