"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","99441","0.0-0.0","05j2327rvx","many_one","0","direct_first","1","ck05ar29","0","26","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","132059","0.0-1.0","05j2327rvx","many_one","0","direct_first","1","ck05ar29","0","26","1","1","3","1","","0","1","0","32524","text/information.html","","","","","","","","","","","","",""
"","external-html","2","140836","0.0-2.0","05j2327rvx","many_one","0","direct_first","1","ck05ar29","0","26","1","1","3","1","","0","1","0","8705","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","172731","0.0-3.0","05j2327rvx","many_one","0","direct_first","1","ck05ar29","0","26","1","1","3","1","","0","1","0","31892.00000000003","","{""codeword_enter"":""ck05ar29""}","","","","","","","","","","","",""
"","survey-html-form","4","186161","0.0-4.0","05j2327rvx","many_one","0","direct_first","1","ck05ar29","0","26","1","1","3","1","","0","1","0","13428","","{""age"":""26"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","198171","0.0-5.0","05j2327rvx","many_one","0","direct_first","1","ck05ar29","0","26","1","1","3","1","","0","1","0","12008","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","202176","0.0-6.0-0.0-0.0","05j2327rvx","many_one","0","direct_first","1","ck05ar29","0","26","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","7","204683","0.0-6.0-0.0-0.1","05j2327rvx","many_one","0","direct_first","1","ck05ar29","0","26","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","8","207187","0.0-6.0-0.0-0.2","05j2327rvx","many_one","0","direct_first","1","ck05ar29","0","26","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","9","209689","0.0-6.0-0.0-0.3","05j2327rvx","many_one","0","direct_first","1","ck05ar29","0","26","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
