"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","4493","0.0-0.0","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","","","","","","","","","","","","","","",""
"","external-html","1","8975","0.0-1.0","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","4444.57500000135","text/information.html","","","","","","","","","","","","",""
"","external-html","2","33504","0.0-2.0","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","24486.705000017537","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","65143","0.0-3.0","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","31635.719999991124","","{""codeword_enter"":""ki04as07""}","","","","","","","","","","","",""
"","survey-html-form","4","77981","0.0-4.0","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","12834.174999996321","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","102027","0.0-5.0","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","24043.97999998764","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","106036","0.0-6.0-0.0-0.0","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9830.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","7","108549","0.0-6.0-0.0-0.1","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","8","111062","0.0-6.0-0.0-0.2","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","9","113575","0.0-6.0-0.0-0.3","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","10","116087","0.0-6.0-0.0-0.4","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","11","118597","0.0-6.0-0.0-0.5","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","12","121104","0.0-6.0-0.0-0.6","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","13","123616","0.0-6.0-0.0-0.7","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","14","126129","0.0-6.0-0.0-0.8","11rkr31uq3","one_one","1","indirect_first","0","ki04as07","0","20","1","1","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9830.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS1.png","","","","",""
