"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","3951","0.0-0.0","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","7573","0.0-1.0","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","3560.4600000660866","text/information.html","","","","","","","","","","","","",""
"","external-html","2","24362","0.0-2.0","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","16730.615000007674","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","69899","0.0-3.0","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","45534.80500006117","","{""codeword_enter"":""ub05io13""}","","","","","","","","","","","",""
"","survey-html-form","4","109035","0.0-4.0","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","39132.694999920204","","{""age"":""25"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","111823","0.0-5.0","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","2785.6799999717623","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","115827","0.0-6.0-0.0-0.0","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","7","118331","0.0-6.0-0.0-0.1","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","8","120836","0.0-6.0-0.0-0.2","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","9","123338","0.0-6.0-0.0-0.3","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","10","125840","0.0-6.0-0.0-0.4","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","11","128342","0.0-6.0-0.0-0.5","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","12","130845","0.0-6.0-0.0-0.6","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","13","133349","0.0-6.0-0.0-0.7","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","14","135853","0.0-6.0-0.0-0.8","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","15","138356","0.0-6.0-0.0-0.9","12gexjlo94","many_one","0","indirect_first","0","ub05io13","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
