"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","3223","0.0-0.0","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","42139","0.0-1.0","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","38894.37499991618","text/information.html","","","","","","","","","","","","",""
"","external-html","2","54269","0.0-2.0","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","12103.639999986626","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","127474","0.0-3.0","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","73202.80500000808","","{""codeword_enter"":""er06il20""}","","","","","","","","","","","",""
"","survey-html-form","4","145670","0.0-4.0","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","18194.15500003379","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","149410","0.0-5.0","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","3738.2399999769405","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","153428","0.0-6.0-0.0-0.0","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","7","155937","0.0-6.0-0.0-0.1","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","8","158451","0.0-6.0-0.0-0.2","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","9","160969","0.0-6.0-0.0-0.3","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","10","163478","0.0-6.0-0.0-0.4","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","11","166002","0.0-6.0-0.0-0.5","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","12","168514","0.0-6.0-0.0-0.6","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","13","171025","0.0-6.0-0.0-0.7","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","14","173545","0.0-6.0-0.0-0.8","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","15","176064","0.0-6.0-0.0-0.9","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","16","178586","0.0-6.0-0.0-0.10","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","17","181103","0.0-6.0-0.0-0.11","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","18","183620","0.0-6.0-0.0-0.12","1zw137onrg","many_one","0","direct_first","1","er06il20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
