"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","7806","0.0-0.0","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","57520","0.0-1.0","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","49619.68499980867","text/information.html","","","","","","","","","","","","",""
"","external-html","2","67224","0.0-2.0","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","9609.114999882877","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","138018","0.0-3.0","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","70783.08000043035","","{""codeword_enter"":""ök06ef23""}","","","","","","","","","","","",""
"","survey-html-form","4","157328","0.0-4.0","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","19290.380000136793","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","176209","0.0-5.0","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","18873.320000246167","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","180261","0.0-6.0-0.0-0.0","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","7","182788","0.0-6.0-0.0-0.1","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","8","185321","0.0-6.0-0.0-0.2","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","9","187837","0.0-6.0-0.0-0.3","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","10","190355","0.0-6.0-0.0-0.4","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","11","192873","0.0-6.0-0.0-0.5","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","12","195404","0.0-6.0-0.0-0.6","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","13","197913","0.0-6.0-0.0-0.7","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","14","200426","0.0-6.0-0.0-0.8","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","15","202957","0.0-6.0-0.0-0.9","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","16","205482","0.0-6.0-0.0-0.10","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","17","207999","0.0-6.0-0.0-0.11","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","18","210519","0.0-6.0-0.0-0.12","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","19","213027","0.0-6.0-0.0-0.13","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","20","215558","0.0-6.0-0.0-0.14","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","21","218064","0.0-6.0-0.0-0.15","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","22","220592","0.0-6.0-0.0-0.16","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","23","223115","0.0-6.0-0.0-0.17","26btee9n2n","many_one","0","indirect_first","0","ök06ef23","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
