"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","6111","0.0-0.0","2olm6np2cg","one_one","1","direct_first","1","st07rd20","0","21","1","1","3","1","Ich hatte Probleme mit dem Sound bei der vorletzten Aufgabe. Ich bin mir allerdings nicht sicher, ob es an meinem Laptop lag.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","64070","0.0-1.0","2olm6np2cg","one_one","1","direct_first","1","st07rd20","0","21","1","1","3","1","Ich hatte Probleme mit dem Sound bei der vorletzten Aufgabe. Ich bin mir allerdings nicht sicher, ob es an meinem Laptop lag.","0","1","0","57912.250000052154","text/information.html","","","","","","","","","","","","",""
"","external-html","2","84534","0.0-2.0","2olm6np2cg","one_one","1","direct_first","1","st07rd20","0","21","1","1","3","1","Ich hatte Probleme mit dem Sound bei der vorletzten Aufgabe. Ich bin mir allerdings nicht sicher, ob es an meinem Laptop lag.","0","1","0","20396.89500001259","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","156235","0.0-3.0","2olm6np2cg","one_one","1","direct_first","1","st07rd20","0","21","1","1","3","1","Ich hatte Probleme mit dem Sound bei der vorletzten Aufgabe. Ich bin mir allerdings nicht sicher, ob es an meinem Laptop lag.","0","1","0","71697.05999991857","","{""codeword_enter"":""st07rd20""}","","","","","","","","","","","",""
"","survey-html-form","4","178738","0.0-4.0","2olm6np2cg","one_one","1","direct_first","1","st07rd20","0","21","1","1","3","1","Ich hatte Probleme mit dem Sound bei der vorletzten Aufgabe. Ich bin mir allerdings nicht sicher, ob es an meinem Laptop lag.","0","1","0","22498.805000213906","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","207562","0.0-5.0","2olm6np2cg","one_one","1","direct_first","1","st07rd20","0","21","1","1","3","1","Ich hatte Probleme mit dem Sound bei der vorletzten Aufgabe. Ich bin mir allerdings nicht sicher, ob es an meinem Laptop lag.","0","1","0","28819.7400001809","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","211585","0.0-6.0-0.0-0.0","2olm6np2cg","one_one","1","direct_first","1","st07rd20","0","21","1","1","3","1","Ich hatte Probleme mit dem Sound bei der vorletzten Aufgabe. Ich bin mir allerdings nicht sicher, ob es an meinem Laptop lag.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","7","214094","0.0-6.0-0.0-0.1","2olm6np2cg","one_one","1","direct_first","1","st07rd20","0","21","1","1","3","1","Ich hatte Probleme mit dem Sound bei der vorletzten Aufgabe. Ich bin mir allerdings nicht sicher, ob es an meinem Laptop lag.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","8","216607","0.0-6.0-0.0-0.2","2olm6np2cg","one_one","1","direct_first","1","st07rd20","0","21","1","1","3","1","Ich hatte Probleme mit dem Sound bei der vorletzten Aufgabe. Ich bin mir allerdings nicht sicher, ob es an meinem Laptop lag.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","9","219119","0.0-6.0-0.0-0.3","2olm6np2cg","one_one","1","direct_first","1","st07rd20","0","21","1","1","3","1","Ich hatte Probleme mit dem Sound bei der vorletzten Aufgabe. Ich bin mir allerdings nicht sicher, ob es an meinem Laptop lag.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","10","221632","0.0-6.0-0.0-0.4","2olm6np2cg","one_one","1","direct_first","1","st07rd20","0","21","1","1","3","1","Ich hatte Probleme mit dem Sound bei der vorletzten Aufgabe. Ich bin mir allerdings nicht sicher, ob es an meinem Laptop lag.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","11","224145","0.0-6.0-0.0-0.5","2olm6np2cg","one_one","1","direct_first","1","st07rd20","0","21","1","1","3","1","Ich hatte Probleme mit dem Sound bei der vorletzten Aufgabe. Ich bin mir allerdings nicht sicher, ob es an meinem Laptop lag.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
