"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","5499","0.0-0.0","2tvgx5ewo4","many_one","0","direct_first","1","el07en31","0","22","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","54943","0.0-1.0","2tvgx5ewo4","many_one","0","direct_first","1","el07en31","0","22","1","1","3","1","","0","1","0","49394.00000000023","text/information.html","","","","","","","","","","","","",""
"","external-html","2","62529","0.0-2.0","2tvgx5ewo4","many_one","0","direct_first","1","el07en31","0","22","1","1","3","1","","0","1","0","7513.860000006389","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","105455","0.0-3.0","2tvgx5ewo4","many_one","0","direct_first","1","el07en31","0","22","1","1","3","1","","0","1","0","42922.65999998199","","{""codeword_enter"":""el07en31""}","","","","","","","","","","","",""
"","survey-html-form","4","123669","0.0-4.0","2tvgx5ewo4","many_one","0","direct_first","1","el07en31","0","22","1","1","3","1","","0","1","0","18202.545000007376","","{""age"":""22"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","130201","0.0-5.0","2tvgx5ewo4","many_one","0","direct_first","1","el07en31","0","22","1","1","3","1","","0","1","0","6525.034999998752","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","134215","0.0-6.0-0.0-0.0","2tvgx5ewo4","many_one","0","direct_first","1","el07en31","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","7","136733","0.0-6.0-0.0-0.1","2tvgx5ewo4","many_one","0","direct_first","1","el07en31","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","8","139261","0.0-6.0-0.0-0.2","2tvgx5ewo4","many_one","0","direct_first","1","el07en31","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","9","141789","0.0-6.0-0.0-0.3","2tvgx5ewo4","many_one","0","direct_first","1","el07en31","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","10","144314","0.0-6.0-0.0-0.4","2tvgx5ewo4","many_one","0","direct_first","1","el07en31","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","11","146850","0.0-6.0-0.0-0.5","2tvgx5ewo4","many_one","0","direct_first","1","el07en31","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
