"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","11406","0.0-0.0","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","","","","","","","","","","","","","","",""
"","external-html","1","67307","0.0-1.0","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","55896","text/information.html","","","","","","","","","","","","",""
"","external-html","2","102707","0.0-2.0","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","35389","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","136433","0.0-3.0","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","33726","","{""codeword_enter"":""ou05as08""}","","","","","","","","","","","",""
"","survey-html-form","4","155092","0.0-4.0","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","18657","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","166019","0.0-5.0","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","10926","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","170036","0.0-6.0-0.0-0.0","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","7","172555","0.0-6.0-0.0-0.1","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","8","175074","0.0-6.0-0.0-0.2","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","9","177615","0.0-6.0-0.0-0.3","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","10","180144","0.0-6.0-0.0-0.4","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","11","182680","0.0-6.0-0.0-0.5","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","12","185185","0.0-6.0-0.0-0.6","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","13","187725","0.0-6.0-0.0-0.7","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","14","190258","0.0-6.0-0.0-0.8","4jytxmncyg","one_one","1","indirect_first","0","ou05as08","0","24","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
