"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","19555","0.0-0.0","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","48708","0.0-1.0","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","29095.650000032037","text/information.html","","","","","","","","","","","","",""
"","external-html","2","60904","0.0-2.0","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","12117.22999997437","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","93665","0.0-3.0","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","32757.205000147223","","{""codeword_enter"":""er05rt27""}","","","","","","","","","","","",""
"","survey-html-form","4","119352","0.0-4.0","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","25672.46499983594","","{""age"":""32"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","13070794","0.0-5.0","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","12951448.710000142","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","13074802","0.0-6.0-0.0-0.0","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","7","13077311","0.0-6.0-0.0-0.1","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","8","13079819","0.0-6.0-0.0-0.2","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","9","13082322","0.0-6.0-0.0-0.3","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","10","13084825","0.0-6.0-0.0-0.4","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","11","13087329","0.0-6.0-0.0-0.5","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","12","13089832","0.0-6.0-0.0-0.6","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","13","13092344","0.0-6.0-0.0-0.7","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","14","13094847","0.0-6.0-0.0-0.8","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","15","13097351","0.0-6.0-0.0-0.9","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","16","13099852","0.0-6.0-0.0-0.10","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","17","13102356","0.0-6.0-0.0-0.11","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","18","13104859","0.0-6.0-0.0-0.12","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","19","13107362","0.0-6.0-0.0-0.13","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","20","13109865","0.0-6.0-0.0-0.14","4omusvdetz","one_one","1","indirect_first","0","er05rt27","0","32","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
