"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","12938","0.0-0.0","4z87p5m8tu","many_one","0","direct_first","1","er06ar05","1","41","2","0","4","1","Silben, die als ""Westler"" geläufig sind, man leicht aussprechen kann, sind mir angenehmer. Xue, Zue, gou, zou, usw., die es in der deutschen/westlichen Aussprache so nicht gibt, sind unangenhemer als fan, gan, usw.
Ich kann etwa 10% der japanischen Kanji-Schriftzeichen, daher weiß ich zum Beispiel, wie ""Mensch"" oder ""Mann"" in Japanisch und mitunter in Chinesisch geschrieben oder kombiniert wird. Ich empfinde diese Zeichen mehrheitlich positiv.
Ich habe zumindest im bewussten Nachdenken über die Bilder keinen Zusammenhang mit den Schriftzeichen festgestellt, dass es darauf Einfluss genommen hätte, wie ich die Zeichen empfinde.

Viel Erfolg!","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","66180","0.0-1.0","4z87p5m8tu","many_one","0","direct_first","1","er06ar05","1","41","2","0","4","1","Silben, die als ""Westler"" geläufig sind, man leicht aussprechen kann, sind mir angenehmer. Xue, Zue, gou, zou, usw., die es in der deutschen/westlichen Aussprache so nicht gibt, sind unangenhemer als fan, gan, usw.
Ich kann etwa 10% der japanischen Kanji-Schriftzeichen, daher weiß ich zum Beispiel, wie ""Mensch"" oder ""Mann"" in Japanisch und mitunter in Chinesisch geschrieben oder kombiniert wird. Ich empfinde diese Zeichen mehrheitlich positiv.
Ich habe zumindest im bewussten Nachdenken über die Bilder keinen Zusammenhang mit den Schriftzeichen festgestellt, dass es darauf Einfluss genommen hätte, wie ich die Zeichen empfinde.

Viel Erfolg!","0","1","0","53181.57500000052","text/information.html","","","","","","","","","","","","",""
"","external-html","2","72777","0.0-2.0","4z87p5m8tu","many_one","0","direct_first","1","er06ar05","1","41","2","0","4","1","Silben, die als ""Westler"" geläufig sind, man leicht aussprechen kann, sind mir angenehmer. Xue, Zue, gou, zou, usw., die es in der deutschen/westlichen Aussprache so nicht gibt, sind unangenhemer als fan, gan, usw.
Ich kann etwa 10% der japanischen Kanji-Schriftzeichen, daher weiß ich zum Beispiel, wie ""Mensch"" oder ""Mann"" in Japanisch und mitunter in Chinesisch geschrieben oder kombiniert wird. Ich empfinde diese Zeichen mehrheitlich positiv.
Ich habe zumindest im bewussten Nachdenken über die Bilder keinen Zusammenhang mit den Schriftzeichen festgestellt, dass es darauf Einfluss genommen hätte, wie ich die Zeichen empfinde.

Viel Erfolg!","0","1","0","6525.879999999233","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","157012","0.0-3.0","4z87p5m8tu","many_one","0","direct_first","1","er06ar05","1","41","2","0","4","1","Silben, die als ""Westler"" geläufig sind, man leicht aussprechen kann, sind mir angenehmer. Xue, Zue, gou, zou, usw., die es in der deutschen/westlichen Aussprache so nicht gibt, sind unangenhemer als fan, gan, usw.
Ich kann etwa 10% der japanischen Kanji-Schriftzeichen, daher weiß ich zum Beispiel, wie ""Mensch"" oder ""Mann"" in Japanisch und mitunter in Chinesisch geschrieben oder kombiniert wird. Ich empfinde diese Zeichen mehrheitlich positiv.
Ich habe zumindest im bewussten Nachdenken über die Bilder keinen Zusammenhang mit den Schriftzeichen festgestellt, dass es darauf Einfluss genommen hätte, wie ich die Zeichen empfinde.

Viel Erfolg!","0","1","0","84232.55000000064","","{""codeword_enter"":""er06ar05""}","","","","","","","","","","","",""
"","survey-html-form","4","178023","0.0-4.0","4z87p5m8tu","many_one","0","direct_first","1","er06ar05","1","41","2","0","4","1","Silben, die als ""Westler"" geläufig sind, man leicht aussprechen kann, sind mir angenehmer. Xue, Zue, gou, zou, usw., die es in der deutschen/westlichen Aussprache so nicht gibt, sind unangenhemer als fan, gan, usw.
Ich kann etwa 10% der japanischen Kanji-Schriftzeichen, daher weiß ich zum Beispiel, wie ""Mensch"" oder ""Mann"" in Japanisch und mitunter in Chinesisch geschrieben oder kombiniert wird. Ich empfinde diese Zeichen mehrheitlich positiv.
Ich habe zumindest im bewussten Nachdenken über die Bilder keinen Zusammenhang mit den Schriftzeichen festgestellt, dass es darauf Einfluss genommen hätte, wie ich die Zeichen empfinde.

Viel Erfolg!","0","1","0","21007.084999999264","","{""age"":""41"",""education"":""2"",""subject"":""4"",""gender"":""1"",""handedness"":""1"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","183577","0.0-5.0","4z87p5m8tu","many_one","0","direct_first","1","er06ar05","1","41","2","0","4","1","Silben, die als ""Westler"" geläufig sind, man leicht aussprechen kann, sind mir angenehmer. Xue, Zue, gou, zou, usw., die es in der deutschen/westlichen Aussprache so nicht gibt, sind unangenhemer als fan, gan, usw.
Ich kann etwa 10% der japanischen Kanji-Schriftzeichen, daher weiß ich zum Beispiel, wie ""Mensch"" oder ""Mann"" in Japanisch und mitunter in Chinesisch geschrieben oder kombiniert wird. Ich empfinde diese Zeichen mehrheitlich positiv.
Ich habe zumindest im bewussten Nachdenken über die Bilder keinen Zusammenhang mit den Schriftzeichen festgestellt, dass es darauf Einfluss genommen hätte, wie ich die Zeichen empfinde.

Viel Erfolg!","0","1","0","5551.414999999921","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","187590","0.0-6.0-0.0-0.0","4z87p5m8tu","many_one","0","direct_first","1","er06ar05","1","41","2","0","4","1","Silben, die als ""Westler"" geläufig sind, man leicht aussprechen kann, sind mir angenehmer. Xue, Zue, gou, zou, usw., die es in der deutschen/westlichen Aussprache so nicht gibt, sind unangenhemer als fan, gan, usw.
Ich kann etwa 10% der japanischen Kanji-Schriftzeichen, daher weiß ich zum Beispiel, wie ""Mensch"" oder ""Mann"" in Japanisch und mitunter in Chinesisch geschrieben oder kombiniert wird. Ich empfinde diese Zeichen mehrheitlich positiv.
Ich habe zumindest im bewussten Nachdenken über die Bilder keinen Zusammenhang mit den Schriftzeichen festgestellt, dass es darauf Einfluss genommen hätte, wie ich die Zeichen empfinde.

Viel Erfolg!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","7","190099","0.0-6.0-0.0-0.1","4z87p5m8tu","many_one","0","direct_first","1","er06ar05","1","41","2","0","4","1","Silben, die als ""Westler"" geläufig sind, man leicht aussprechen kann, sind mir angenehmer. Xue, Zue, gou, zou, usw., die es in der deutschen/westlichen Aussprache so nicht gibt, sind unangenhemer als fan, gan, usw.
Ich kann etwa 10% der japanischen Kanji-Schriftzeichen, daher weiß ich zum Beispiel, wie ""Mensch"" oder ""Mann"" in Japanisch und mitunter in Chinesisch geschrieben oder kombiniert wird. Ich empfinde diese Zeichen mehrheitlich positiv.
Ich habe zumindest im bewussten Nachdenken über die Bilder keinen Zusammenhang mit den Schriftzeichen festgestellt, dass es darauf Einfluss genommen hätte, wie ich die Zeichen empfinde.

Viel Erfolg!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","8","192611","0.0-6.0-0.0-0.2","4z87p5m8tu","many_one","0","direct_first","1","er06ar05","1","41","2","0","4","1","Silben, die als ""Westler"" geläufig sind, man leicht aussprechen kann, sind mir angenehmer. Xue, Zue, gou, zou, usw., die es in der deutschen/westlichen Aussprache so nicht gibt, sind unangenhemer als fan, gan, usw.
Ich kann etwa 10% der japanischen Kanji-Schriftzeichen, daher weiß ich zum Beispiel, wie ""Mensch"" oder ""Mann"" in Japanisch und mitunter in Chinesisch geschrieben oder kombiniert wird. Ich empfinde diese Zeichen mehrheitlich positiv.
Ich habe zumindest im bewussten Nachdenken über die Bilder keinen Zusammenhang mit den Schriftzeichen festgestellt, dass es darauf Einfluss genommen hätte, wie ich die Zeichen empfinde.

Viel Erfolg!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","9","195119","0.0-6.0-0.0-0.3","4z87p5m8tu","many_one","0","direct_first","1","er06ar05","1","41","2","0","4","1","Silben, die als ""Westler"" geläufig sind, man leicht aussprechen kann, sind mir angenehmer. Xue, Zue, gou, zou, usw., die es in der deutschen/westlichen Aussprache so nicht gibt, sind unangenhemer als fan, gan, usw.
Ich kann etwa 10% der japanischen Kanji-Schriftzeichen, daher weiß ich zum Beispiel, wie ""Mensch"" oder ""Mann"" in Japanisch und mitunter in Chinesisch geschrieben oder kombiniert wird. Ich empfinde diese Zeichen mehrheitlich positiv.
Ich habe zumindest im bewussten Nachdenken über die Bilder keinen Zusammenhang mit den Schriftzeichen festgestellt, dass es darauf Einfluss genommen hätte, wie ich die Zeichen empfinde.

Viel Erfolg!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
