"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","18087","0.0-0.0","573oppzqcz","one_one","1","indirect_first","0","Baum1234","1","25","1","1","3","1","Die Assoziation durch die Bilder, dem brennenden Faß, hat Schriftzeichen mit mehereren Vierecken leicht unangenehmer gemacht.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","22788","0.0-1.0","573oppzqcz","one_one","1","indirect_first","0","Baum1234","1","25","1","1","3","1","Die Assoziation durch die Bilder, dem brennenden Faß, hat Schriftzeichen mit mehereren Vierecken leicht unangenehmer gemacht.","0","1","0","4592.784999869764","text/information.html","","","","","","","","","","","","",""
"","external-html","2","29122","0.0-2.0","573oppzqcz","one_one","1","indirect_first","0","Baum1234","1","25","1","1","3","1","Die Assoziation durch die Bilder, dem brennenden Faß, hat Schriftzeichen mit mehereren Vierecken leicht unangenehmer gemacht.","0","1","0","6247.364999959245","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","55444","0.0-3.0","573oppzqcz","one_one","1","indirect_first","0","Baum1234","1","25","1","1","3","1","Die Assoziation durch die Bilder, dem brennenden Faß, hat Schriftzeichen mit mehereren Vierecken leicht unangenehmer gemacht.","0","1","0","26314.630000153556","","{""codeword_enter"":""Baum1234""}","","","","","","","","","","","",""
"","survey-html-form","4","73948","0.0-4.0","573oppzqcz","one_one","1","indirect_first","0","Baum1234","1","25","1","1","3","1","Die Assoziation durch die Bilder, dem brennenden Faß, hat Schriftzeichen mit mehereren Vierecken leicht unangenehmer gemacht.","0","1","0","18497.41999991238","","{""age"":""25"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","76849","0.0-5.0","573oppzqcz","one_one","1","indirect_first","0","Baum1234","1","25","1","1","3","1","Die Assoziation durch die Bilder, dem brennenden Faß, hat Schriftzeichen mit mehereren Vierecken leicht unangenehmer gemacht.","0","1","0","2896.3049999438226","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","80858","0.0-6.0-0.0-0.0","573oppzqcz","one_one","1","indirect_first","0","Baum1234","1","25","1","1","3","1","Die Assoziation durch die Bilder, dem brennenden Faß, hat Schriftzeichen mit mehereren Vierecken leicht unangenehmer gemacht.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","7","83369","0.0-6.0-0.0-0.1","573oppzqcz","one_one","1","indirect_first","0","Baum1234","1","25","1","1","3","1","Die Assoziation durch die Bilder, dem brennenden Faß, hat Schriftzeichen mit mehereren Vierecken leicht unangenehmer gemacht.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","8","85878","0.0-6.0-0.0-0.2","573oppzqcz","one_one","1","indirect_first","0","Baum1234","1","25","1","1","3","1","Die Assoziation durch die Bilder, dem brennenden Faß, hat Schriftzeichen mit mehereren Vierecken leicht unangenehmer gemacht.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","9","88385","0.0-6.0-0.0-0.3","573oppzqcz","one_one","1","indirect_first","0","Baum1234","1","25","1","1","3","1","Die Assoziation durch die Bilder, dem brennenden Faß, hat Schriftzeichen mit mehereren Vierecken leicht unangenehmer gemacht.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
