"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","6941","0.0-0.0","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","154211","0.0-1.0","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","147110.46499999793","text/information.html","","","","","","","","","","","","",""
"","external-html","2","185404","0.0-2.0","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","31141.774999996414","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","255954","0.0-3.0","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","70546.540000003","","{""codeword_enter"":""ee07ar12""}","","","","","","","","","","","",""
"","survey-html-form","4","280649","0.0-4.0","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","24687.514999997802","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","305757","0.0-5.0","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","25105.08999999729","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","309768","0.0-6.0-0.0-0.0","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","7","312275","0.0-6.0-0.0-0.1","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","8","314783","0.0-6.0-0.0-0.2","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","9","317291","0.0-6.0-0.0-0.3","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","10","319796","0.0-6.0-0.0-0.4","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","11","322303","0.0-6.0-0.0-0.5","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","12","324808","0.0-6.0-0.0-0.6","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9830.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","13","327316","0.0-6.0-0.0-0.7","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","14","329824","0.0-6.0-0.0-0.8","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","15","332334","0.0-6.0-0.0-0.9","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","16","334839","0.0-6.0-0.0-0.10","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","17","337348","0.0-6.0-0.0-0.11","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","18","339855","0.0-6.0-0.0-0.12","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","19","342359","0.0-6.0-0.0-0.13","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","20","344867","0.0-6.0-0.0-0.14","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","21","347374","0.0-6.0-0.0-0.15","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","22","349886","0.0-6.0-0.0-0.16","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","23","352392","0.0-6.0-0.0-0.17","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","24","354898","0.0-6.0-0.0-0.18","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","25","357405","0.0-6.0-0.0-0.19","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","survey-html-form","26","361119","0.0-6.0-1.0","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","3210.350000001199","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","365122","0.0-6.0-2.0-0.0","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","28","367633","0.0-6.0-2.0-0.1","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","29","370144","0.0-6.0-2.0-0.2","5zuvk4gozr","many_one","0","direct_first","1","ee07ar12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
