"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","2783","0.0-0.0","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","5069","0.0-1.0","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","2242.259999969974","text/information.html","","","","","","","","","","","","",""
"","external-html","2","17785","0.0-2.0","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","12654.910000041127","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","69175","0.0-3.0","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","51382.0499998983","","{""codeword_enter"":""ig05nk07""}","","","","","","","","","","","",""
"","survey-html-form","4","84620","0.0-4.0","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","15439.939999952912","","{""age"":""22"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","104465","0.0-5.0","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","19841.679999837652","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","108468","0.0-6.0-0.0-0.0","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","7","110970","0.0-6.0-0.0-0.1","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","8","113473","0.0-6.0-0.0-0.2","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","9","115976","0.0-6.0-0.0-0.3","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","10","118481","0.0-6.0-0.0-0.4","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","11","120985","0.0-6.0-0.0-0.5","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","12","123488","0.0-6.0-0.0-0.6","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","13","125992","0.0-6.0-0.0-0.7","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","14","128496","0.0-6.0-0.0-0.8","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","15","130999","0.0-6.0-0.0-0.9","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","16","133502","0.0-6.0-0.0-0.10","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","17","136004","0.0-6.0-0.0-0.11","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","18","138508","0.0-6.0-0.0-0.12","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","19","141011","0.0-6.0-0.0-0.13","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","20","143513","0.0-6.0-0.0-0.14","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","21","146015","0.0-6.0-0.0-0.15","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","22","148518","0.0-6.0-0.0-0.16","6a9y2qhjwk","one_one","1","direct_first","1","ig05nk07","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
