"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","54758","0.0-0.0","6jsxxs2gq0","many_one","0","direct_first","1","Er08nz31","0","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","58344","0.0-1.0","6jsxxs2gq0","many_one","0","direct_first","1","Er08nz31","0","24","1","1","3","1","","0","1","0","3546.105000190437","text/information.html","","","","","","","","","","","","",""
"","external-html","2","66592","0.0-2.0","6jsxxs2gq0","many_one","0","direct_first","1","Er08nz31","0","24","1","1","3","1","","0","1","0","8226.155000273138","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","94048","0.0-3.0","6jsxxs2gq0","many_one","0","direct_first","1","Er08nz31","0","24","1","1","3","1","","0","1","0","27453.93499964848","","{""codeword_enter"":""Er08nz31""}","","","","","","","","","","","",""
"","survey-html-form","4","106663","0.0-4.0","6jsxxs2gq0","many_one","0","direct_first","1","Er08nz31","0","24","1","1","3","1","","0","1","0","12613.379999995232","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","115893","0.0-5.0","6jsxxs2gq0","many_one","0","direct_first","1","Er08nz31","0","24","1","1","3","1","","0","1","0","9229.650000110269","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","119924","0.0-6.0-0.0-0.0","6jsxxs2gq0","many_one","0","direct_first","1","Er08nz31","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","7","122442","0.0-6.0-0.0-0.1","6jsxxs2gq0","many_one","0","direct_first","1","Er08nz31","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","8","124958","0.0-6.0-0.0-0.2","6jsxxs2gq0","many_one","0","direct_first","1","Er08nz31","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","9","127475","0.0-6.0-0.0-0.3","6jsxxs2gq0","many_one","0","direct_first","1","Er08nz31","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9830.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
