"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","15439","0.0-0.0","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","","","","","","","","","","","","","","",""
"","external-html","1","58469","0.0-1.0","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","43014","text/information.html","","","","","","","","","","","","",""
"","external-html","2","84605","0.0-2.0","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","26110","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","145093","0.0-3.0","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","60485","","{""codeword_enter"":""ru07rt11""}","","","","","","","","","","","",""
"","survey-html-form","4","161974","0.0-4.0","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","16881","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","164766","0.0-5.0","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","2791","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","168785","0.0-6.0-0.0-0.0","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","7","171328","0.0-6.0-0.0-0.1","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","8","173866","0.0-6.0-0.0-0.2","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","9","176399","0.0-6.0-0.0-0.3","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","10","178927","0.0-6.0-0.0-0.4","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","11","181467","0.0-6.0-0.0-0.5","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","12","184006","0.0-6.0-0.0-0.6","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","13","186547","0.0-6.0-0.0-0.7","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","14","189087","0.0-6.0-0.0-0.8","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","15","191616","0.0-6.0-0.0-0.9","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","16","194156","0.0-6.0-0.0-0.10","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","17","196697","0.0-6.0-0.0-0.11","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","18","199227","0.0-6.0-0.0-0.12","6pzartsauw","one_one","1","direct_first","1","ru07rt11","0","21","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
