"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","6419","0.0-0.0","6xb5aupvc2","many_one","0","indirect_first","0","lz03ld31","0","69","4","1","3","1","Ich habe mich nie mit chinesischen Zeichen beschäftigt und war jetzt erstaunt, wie ""ästhetisch"" sie sind. Allerdingsversuchte ich, einen ""Sinn"" darin zu finden, eine Art story und das hat mich verwirrt. Vielen Dank!","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","28489","0.0-1.0","6xb5aupvc2","many_one","0","indirect_first","0","lz03ld31","0","69","4","1","3","1","Ich habe mich nie mit chinesischen Zeichen beschäftigt und war jetzt erstaunt, wie ""ästhetisch"" sie sind. Allerdingsversuchte ich, einen ""Sinn"" darin zu finden, eine Art story und das hat mich verwirrt. Vielen Dank!","0","1","0","21967.999999877065","text/information.html","","","","","","","","","","","","",""
"","external-html","2","37201","0.0-2.0","6xb5aupvc2","many_one","0","indirect_first","0","lz03ld31","0","69","4","1","3","1","Ich habe mich nie mit chinesischen Zeichen beschäftigt und war jetzt erstaunt, wie ""ästhetisch"" sie sind. Allerdingsversuchte ich, einen ""Sinn"" darin zu finden, eine Art story und das hat mich verwirrt. Vielen Dank!","0","1","0","8632.000000216067","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","104323","0.0-3.0","6xb5aupvc2","many_one","0","indirect_first","0","lz03ld31","0","69","4","1","3","1","Ich habe mich nie mit chinesischen Zeichen beschäftigt und war jetzt erstaunt, wie ""ästhetisch"" sie sind. Allerdingsversuchte ich, einen ""Sinn"" darin zu finden, eine Art story und das hat mich verwirrt. Vielen Dank!","0","1","0","67118.0000002496","","{""codeword_enter"":""lz03ld31""}","","","","","","","","","","","",""
"","survey-html-form","4","145945","0.0-4.0","6xb5aupvc2","many_one","0","indirect_first","0","lz03ld31","0","69","4","1","3","1","Ich habe mich nie mit chinesischen Zeichen beschäftigt und war jetzt erstaunt, wie ""ästhetisch"" sie sind. Allerdingsversuchte ich, einen ""Sinn"" darin zu finden, eine Art story und das hat mich verwirrt. Vielen Dank!","0","1","0","41608.9999997057","","{""age"":""69"",""education"":""4"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","155737","0.0-5.0","6xb5aupvc2","many_one","0","indirect_first","0","lz03ld31","0","69","4","1","3","1","Ich habe mich nie mit chinesischen Zeichen beschäftigt und war jetzt erstaunt, wie ""ästhetisch"" sie sind. Allerdingsversuchte ich, einen ""Sinn"" darin zu finden, eine Art story und das hat mich verwirrt. Vielen Dank!","0","1","0","9785.999999847263","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","159745","0.0-6.0-0.0-0.0","6xb5aupvc2","many_one","0","indirect_first","0","lz03ld31","0","69","4","1","3","1","Ich habe mich nie mit chinesischen Zeichen beschäftigt und war jetzt erstaunt, wie ""ästhetisch"" sie sind. Allerdingsversuchte ich, einen ""Sinn"" darin zu finden, eine Art story und das hat mich verwirrt. Vielen Dank!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","7","162251","0.0-6.0-0.0-0.1","6xb5aupvc2","many_one","0","indirect_first","0","lz03ld31","0","69","4","1","3","1","Ich habe mich nie mit chinesischen Zeichen beschäftigt und war jetzt erstaunt, wie ""ästhetisch"" sie sind. Allerdingsversuchte ich, einen ""Sinn"" darin zu finden, eine Art story und das hat mich verwirrt. Vielen Dank!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","8","164755","0.0-6.0-0.0-0.2","6xb5aupvc2","many_one","0","indirect_first","0","lz03ld31","0","69","4","1","3","1","Ich habe mich nie mit chinesischen Zeichen beschäftigt und war jetzt erstaunt, wie ""ästhetisch"" sie sind. Allerdingsversuchte ich, einen ""Sinn"" darin zu finden, eine Art story und das hat mich verwirrt. Vielen Dank!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","9","167259","0.0-6.0-0.0-0.3","6xb5aupvc2","many_one","0","indirect_first","0","lz03ld31","0","69","4","1","3","1","Ich habe mich nie mit chinesischen Zeichen beschäftigt und war jetzt erstaunt, wie ""ästhetisch"" sie sind. Allerdingsversuchte ich, einen ""Sinn"" darin zu finden, eine Art story und das hat mich verwirrt. Vielen Dank!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
