"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","10290","0.0-0.0","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","21761","0.0-1.0","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","11394.49999993667","text/information.html","","","","","","","","","","","","",""
"","external-html","2","39869","0.0-2.0","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","18032.614999916404","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","75683","0.0-3.0","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","35802.74000018835","","{""codeword_enter"":""Uß04ER02""}","","","","","","","","","","","",""
"","survey-html-form","4","100370","0.0-4.0","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","24675.57999957353","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","113180","0.0-5.0","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","12804.26499992609","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","117190","0.0-6.0-0.0-0.0","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","7","119697","0.0-6.0-0.0-0.1","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","8","122203","0.0-6.0-0.0-0.2","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","9","124708","0.0-6.0-0.0-0.3","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","10","127213","0.0-6.0-0.0-0.4","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2900.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","11","129718","0.0-6.0-0.0-0.5","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","12","132223","0.0-6.0-0.0-0.6","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","13","134727","0.0-6.0-0.0-0.7","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","14","137234","0.0-6.0-0.0-0.8","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","15","139738","0.0-6.0-0.0-0.9","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","16","142245","0.0-6.0-0.0-0.10","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","17","144750","0.0-6.0-0.0-0.11","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","18","147256","0.0-6.0-0.0-0.12","80v1177e8v","many_one","0","indirect_first","0","Uß04ER02","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
