"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","5022","0.0-0.0","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","12706","0.0-1.0","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","7644","text/information.html","","","","","","","","","","","","",""
"","external-html","2","18324","0.0-2.0","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","5579","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","53791","0.0-3.0","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","35464","","{""codeword_enter"":""wu06ie28""}","","","","","","","","","","","",""
"","survey-html-form","4","69353","0.0-4.0","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","15559.999999999985","","{""age"":""18"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","70878","0.0-5.0","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","1522","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","74884","0.0-6.0-0.0-0.0","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","7","77389","0.0-6.0-0.0-0.1","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","8","79894","0.0-6.0-0.0-0.2","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","9","82397","0.0-6.0-0.0-0.3","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","10","84902","0.0-6.0-0.0-0.4","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","11","87406","0.0-6.0-0.0-0.5","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","12","89911","0.0-6.0-0.0-0.6","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","13","92415","0.0-6.0-0.0-0.7","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","14","94920","0.0-6.0-0.0-0.8","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","15","97425","0.0-6.0-0.0-0.9","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","16","99929","0.0-6.0-0.0-0.10","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","17","102433","0.0-6.0-0.0-0.11","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","18","104936","0.0-6.0-0.0-0.12","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","19","107441","0.0-6.0-0.0-0.13","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","20","109945","0.0-6.0-0.0-0.14","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","21","112449","0.0-6.0-0.0-0.15","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","22","114953","0.0-6.0-0.0-0.16","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","23","117458","0.0-6.0-0.0-0.17","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","24","119962","0.0-6.0-0.0-0.18","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8350.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","25","122466","0.0-6.0-0.0-0.19","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","survey-html-form","26","124640","0.0-6.0-1.0","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","1671","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","128644","0.0-6.0-2.0-0.0","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","28","131148","0.0-6.0-2.0-0.1","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","29","133653","0.0-6.0-2.0-0.2","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","30","136157","0.0-6.0-2.0-0.3","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","31","138662","0.0-6.0-2.0-0.4","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","32","141167","0.0-6.0-2.0-0.5","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","33","143671","0.0-6.0-2.0-0.6","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","34","146175","0.0-6.0-2.0-0.7","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","35","148680","0.0-6.0-2.0-0.8","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","36","151183","0.0-6.0-2.0-0.9","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","37","153687","0.0-6.0-2.0-0.10","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","38","156191","0.0-6.0-2.0-0.11","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","39","158696","0.0-6.0-2.0-0.12","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","40","161201","0.0-6.0-2.0-0.13","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8350.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","41","163705","0.0-6.0-2.0-0.14","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","42","166209","0.0-6.0-2.0-0.15","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","43","168713","0.0-6.0-2.0-0.16","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","44","171216","0.0-6.0-2.0-0.17","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","45","173720","0.0-6.0-2.0-0.18","9222elwu5w","many_one","0","direct_first","1","wu06ie28","0","18","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
