"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","7358","0.0-0.0","98rrbc2jur","one_one","1","direct_first","1","ca09ao09","0","21","1","0","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","156932","0.0-1.0","98rrbc2jur","one_one","1","direct_first","1","ca09ao09","0","21","1","0","3","1","","0","1","0","149522.45000004768","text/information.html","","","","","","","","","","","","",""
"","external-html","2","237469","0.0-2.0","98rrbc2jur","one_one","1","direct_first","1","ca09ao09","0","21","1","0","3","1","","0","1","0","80378.78500018269","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","325897","0.0-3.0","98rrbc2jur","one_one","1","direct_first","1","ca09ao09","0","21","1","0","3","1","","0","1","0","88422.46499983594","","{""codeword_enter"":""ca09ao09""}","","","","","","","","","","","",""
"","survey-html-form","4","345961","0.0-4.0","98rrbc2jur","one_one","1","direct_first","1","ca09ao09","0","21","1","0","3","1","","0","1","0","20062.105000019073","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","364097","0.0-5.0","98rrbc2jur","one_one","1","direct_first","1","ca09ao09","0","21","1","0","3","1","","0","1","0","18134.624999947846","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","368104","0.0-6.0-0.0-0.0","98rrbc2jur","one_one","1","direct_first","1","ca09ao09","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","7","370619","0.0-6.0-0.0-0.1","98rrbc2jur","one_one","1","direct_first","1","ca09ao09","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","8","373129","0.0-6.0-0.0-0.2","98rrbc2jur","one_one","1","direct_first","1","ca09ao09","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","9","375640","0.0-6.0-0.0-0.3","98rrbc2jur","one_one","1","direct_first","1","ca09ao09","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
