"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","2227","0.0-0.0","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","6001","0.0-1.0","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","3731","text/information.html","","","","","","","","","","","","",""
"","external-html","2","16060","0.0-2.0","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","10033","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","61723","0.0-3.0","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","45660","","{""codeword_enter"":""he06ig03""}","","","","","","","","","","","",""
"","survey-html-form","4","78015","0.0-4.0","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","16288","","{""age"":""25"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","80057","0.0-5.0","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","2039","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","84065","0.0-6.0-0.0-0.0","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","7","86570","0.0-6.0-0.0-0.1","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","8","89074","0.0-6.0-0.0-0.2","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","9","91581","0.0-6.0-0.0-0.3","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","10","94084","0.0-6.0-0.0-0.4","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","11","96586","0.0-6.0-0.0-0.5","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","12","99088","0.0-6.0-0.0-0.6","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","13","101591","0.0-6.0-0.0-0.7","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","14","104093","0.0-6.0-0.0-0.8","9lu5hgyd1p","one_one","1","direct_first","1","he06ig03","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
