"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","10665","0.0-0.0","afk443k6ql","one_one","1","direct_first","1","er10as24","0","24","1","0","3","1","Ich habe an der Uni mal ein Jahr Chinesisch Unterricht gehabt. Ist schon 3 jahre her, sodass ich kaum noch was kann. 
Schon gar keine Zeichen, aber die bei der Lautsprache kam mir manches wage bekannt vor.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","43197","0.0-1.0","afk443k6ql","one_one","1","direct_first","1","er10as24","0","24","1","0","3","1","Ich habe an der Uni mal ein Jahr Chinesisch Unterricht gehabt. Ist schon 3 jahre her, sodass ich kaum noch was kann. 
Schon gar keine Zeichen, aber die bei der Lautsprache kam mir manches wage bekannt vor.","0","1","0","32383","text/information.html","","","","","","","","","","","","",""
"","external-html","2","61736","0.0-2.0","afk443k6ql","one_one","1","direct_first","1","er10as24","0","24","1","0","3","1","Ich habe an der Uni mal ein Jahr Chinesisch Unterricht gehabt. Ist schon 3 jahre her, sodass ich kaum noch was kann. 
Schon gar keine Zeichen, aber die bei der Lautsprache kam mir manches wage bekannt vor.","0","1","0","18410","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","143323","0.0-3.0","afk443k6ql","one_one","1","direct_first","1","er10as24","0","24","1","0","3","1","Ich habe an der Uni mal ein Jahr Chinesisch Unterricht gehabt. Ist schon 3 jahre her, sodass ich kaum noch was kann. 
Schon gar keine Zeichen, aber die bei der Lautsprache kam mir manches wage bekannt vor.","0","1","0","81573","","{""codeword_enter"":""er10as24""}","","","","","","","","","","","",""
"","survey-html-form","4","160960","0.0-4.0","afk443k6ql","one_one","1","direct_first","1","er10as24","0","24","1","0","3","1","Ich habe an der Uni mal ein Jahr Chinesisch Unterricht gehabt. Ist schon 3 jahre her, sodass ich kaum noch was kann. 
Schon gar keine Zeichen, aber die bei der Lautsprache kam mir manches wage bekannt vor.","0","1","0","17633","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","168851","0.0-5.0","afk443k6ql","one_one","1","direct_first","1","er10as24","0","24","1","0","3","1","Ich habe an der Uni mal ein Jahr Chinesisch Unterricht gehabt. Ist schon 3 jahre her, sodass ich kaum noch was kann. 
Schon gar keine Zeichen, aber die bei der Lautsprache kam mir manches wage bekannt vor.","0","1","0","7890","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","172858","0.0-6.0-0.0-0.0","afk443k6ql","one_one","1","direct_first","1","er10as24","0","24","1","0","3","1","Ich habe an der Uni mal ein Jahr Chinesisch Unterricht gehabt. Ist schon 3 jahre her, sodass ich kaum noch was kann. 
Schon gar keine Zeichen, aber die bei der Lautsprache kam mir manches wage bekannt vor.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","7","175369","0.0-6.0-0.0-0.1","afk443k6ql","one_one","1","direct_first","1","er10as24","0","24","1","0","3","1","Ich habe an der Uni mal ein Jahr Chinesisch Unterricht gehabt. Ist schon 3 jahre her, sodass ich kaum noch was kann. 
Schon gar keine Zeichen, aber die bei der Lautsprache kam mir manches wage bekannt vor.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","8","177877","0.0-6.0-0.0-0.2","afk443k6ql","one_one","1","direct_first","1","er10as24","0","24","1","0","3","1","Ich habe an der Uni mal ein Jahr Chinesisch Unterricht gehabt. Ist schon 3 jahre her, sodass ich kaum noch was kann. 
Schon gar keine Zeichen, aber die bei der Lautsprache kam mir manches wage bekannt vor.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","9","180387","0.0-6.0-0.0-0.3","afk443k6ql","one_one","1","direct_first","1","er10as24","0","24","1","0","3","1","Ich habe an der Uni mal ein Jahr Chinesisch Unterricht gehabt. Ist schon 3 jahre her, sodass ich kaum noch was kann. 
Schon gar keine Zeichen, aber die bei der Lautsprache kam mir manches wage bekannt vor.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
