"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","4027","0.0-0.0","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","31249","0.0-1.0","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","27181","text/information.html","","","","","","","","","","","","",""
"","external-html","2","41299","0.0-2.0","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","9982","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","98690","0.0-3.0","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","57386","","{""codeword_enter"":""ll05ch11""}","","","","","","","","","","","",""
"","survey-html-form","4","118023","0.0-4.0","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","19330","","{""age"":""24"",""education"":""2"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","120242","0.0-5.0","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","2216","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","124251","0.0-6.0-0.0-0.0","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","7","126757","0.0-6.0-0.0-0.1","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","8","129262","0.0-6.0-0.0-0.2","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","9","131768","0.0-6.0-0.0-0.3","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","10","134273","0.0-6.0-0.0-0.4","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","11","136779","0.0-6.0-0.0-0.5","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8350.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","12","139288","0.0-6.0-0.0-0.6","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","13","141792","0.0-6.0-0.0-0.7","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","14","144295","0.0-6.0-0.0-0.8","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","15","146800","0.0-6.0-0.0-0.9","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","16","149308","0.0-6.0-0.0-0.10","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","17","151811","0.0-6.0-0.0-0.11","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","18","154315","0.0-6.0-0.0-0.12","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","19","156817","0.0-6.0-0.0-0.13","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","20","159321","0.0-6.0-0.0-0.14","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","21","161823","0.0-6.0-0.0-0.15","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","22","164328","0.0-6.0-0.0-0.16","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","23","166831","0.0-6.0-0.0-0.17","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","24","169334","0.0-6.0-0.0-0.18","b887zhcn25","many_one","0","direct_first","1","ll05ch11","1","24","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
