"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","14839","0.0-0.0","bdo9qujmkb","one_one","1","indirect_first","0","nn05as13","0","19","1","1","2","2","","","","","","","","","","","","","","",""
"","external-html","1","73060","0.0-1.0","bdo9qujmkb","one_one","1","indirect_first","0","nn05as13","0","19","1","1","2","2","58206","text/information.html","","","","","","","","","","","","",""
"","external-html","2","109404","0.0-2.0","bdo9qujmkb","one_one","1","indirect_first","0","nn05as13","0","19","1","1","2","2","36327","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","195932","0.0-3.0","bdo9qujmkb","one_one","1","indirect_first","0","nn05as13","0","19","1","1","2","2","86526","","{""codeword_enter"":""nn05as13""}","","","","","","","","","","","",""
"","survey-html-form","4","216934","0.0-4.0","bdo9qujmkb","one_one","1","indirect_first","0","nn05as13","0","19","1","1","2","2","21001","","{""age"":""19"",""education"":""1"",""subject"":""2"",""gender"":""0"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","230349","0.0-5.0","bdo9qujmkb","one_one","1","indirect_first","0","nn05as13","0","19","1","1","2","2","13415","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","234380","0.0-6.0-0.0-0.0","bdo9qujmkb","one_one","1","indirect_first","0","nn05as13","0","19","1","1","2","2","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","7","236919","0.0-6.0-0.0-0.1","bdo9qujmkb","one_one","1","indirect_first","0","nn05as13","0","19","1","1","2","2","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","8","239458","0.0-6.0-0.0-0.2","bdo9qujmkb","one_one","1","indirect_first","0","nn05as13","0","19","1","1","2","2","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","9","241998","0.0-6.0-0.0-0.3","bdo9qujmkb","one_one","1","indirect_first","0","nn05as13","0","19","1","1","2","2","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
