"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","12677","0.0-0.0","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","","","","","","","","","","","","","","",""
"","external-html","1","59154","0.0-1.0","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","46468","text/information.html","","","","","","","","","","","","",""
"","external-html","2","93018","0.0-2.0","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","33849","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","124786","0.0-3.0","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","31766","","{""codeword_enter"":""ap09rd22""}","","","","","","","","","","","",""
"","survey-html-form","4","139380","0.0-4.0","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","14591","","{""age"":""29"",""education"":""1"",""subject"":""1"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","154043","0.0-5.0","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","14662","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","158078","0.0-6.0-0.0-0.0","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","7","160618","0.0-6.0-0.0-0.1","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","8","163157","0.0-6.0-0.0-0.2","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","9","165696","0.0-6.0-0.0-0.3","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","10","168236","0.0-6.0-0.0-0.4","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","11","170777","0.0-6.0-0.0-0.5","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","12","173316","0.0-6.0-0.0-0.6","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","13","175845","0.0-6.0-0.0-0.7","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","14","178347","0.0-6.0-0.0-0.8","bmn0tyzef2","one_one","1","direct_first","1","ap09rd22","0","29","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
