"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","5145","0.0-0.0","bqruwhfz9e","many_one","0","indirect_first","0","ka07ar16","0","24","1","0","3","2","Bei manchen Zeichen sind mir die Bilder vor mein Auge gesprungen und bei manchen lag es daran welche Bilder ich selber in den Zeichen gesehen habe, um sie als angenhem  / unangenehm zu empfinden.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","9382","0.0-1.0","bqruwhfz9e","many_one","0","indirect_first","0","ka07ar16","0","24","1","0","3","2","Bei manchen Zeichen sind mir die Bilder vor mein Auge gesprungen und bei manchen lag es daran welche Bilder ich selber in den Zeichen gesehen habe, um sie als angenhem  / unangenehm zu empfinden.","0","1","0","4189","text/information.html","","","","","","","","","","","","",""
"","external-html","2","39414","0.0-2.0","bqruwhfz9e","many_one","0","indirect_first","0","ka07ar16","0","24","1","0","3","2","Bei manchen Zeichen sind mir die Bilder vor mein Auge gesprungen und bei manchen lag es daran welche Bilder ich selber in den Zeichen gesehen habe, um sie als angenhem  / unangenehm zu empfinden.","0","1","0","29960","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","146956","0.0-3.0","bqruwhfz9e","many_one","0","indirect_first","0","ka07ar16","0","24","1","0","3","2","Bei manchen Zeichen sind mir die Bilder vor mein Auge gesprungen und bei manchen lag es daran welche Bilder ich selber in den Zeichen gesehen habe, um sie als angenhem  / unangenehm zu empfinden.","0","1","0","107537","","{""codeword_enter"":""ka07ar16""}","","","","","","","","","","","",""
"","survey-html-form","4","191957","0.0-4.0","bqruwhfz9e","many_one","0","indirect_first","0","ka07ar16","0","24","1","0","3","2","Bei manchen Zeichen sind mir die Bilder vor mein Auge gesprungen und bei manchen lag es daran welche Bilder ich selber in den Zeichen gesehen habe, um sie als angenhem  / unangenehm zu empfinden.","0","1","0","44999","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""2"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","207989","0.0-5.0","bqruwhfz9e","many_one","0","indirect_first","0","ka07ar16","0","24","1","0","3","2","Bei manchen Zeichen sind mir die Bilder vor mein Auge gesprungen und bei manchen lag es daran welche Bilder ich selber in den Zeichen gesehen habe, um sie als angenhem  / unangenehm zu empfinden.","0","1","0","16031","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","212016","0.0-6.0-0.0-0.0","bqruwhfz9e","many_one","0","indirect_first","0","ka07ar16","0","24","1","0","3","2","Bei manchen Zeichen sind mir die Bilder vor mein Auge gesprungen und bei manchen lag es daran welche Bilder ich selber in den Zeichen gesehen habe, um sie als angenhem  / unangenehm zu empfinden.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","7","214545","0.0-6.0-0.0-0.1","bqruwhfz9e","many_one","0","indirect_first","0","ka07ar16","0","24","1","0","3","2","Bei manchen Zeichen sind mir die Bilder vor mein Auge gesprungen und bei manchen lag es daran welche Bilder ich selber in den Zeichen gesehen habe, um sie als angenhem  / unangenehm zu empfinden.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","8","217085","0.0-6.0-0.0-0.2","bqruwhfz9e","many_one","0","indirect_first","0","ka07ar16","0","24","1","0","3","2","Bei manchen Zeichen sind mir die Bilder vor mein Auge gesprungen und bei manchen lag es daran welche Bilder ich selber in den Zeichen gesehen habe, um sie als angenhem  / unangenehm zu empfinden.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","9","219614","0.0-6.0-0.0-0.3","bqruwhfz9e","many_one","0","indirect_first","0","ka07ar16","0","24","1","0","3","2","Bei manchen Zeichen sind mir die Bilder vor mein Auge gesprungen und bei manchen lag es daran welche Bilder ich selber in den Zeichen gesehen habe, um sie als angenhem  / unangenehm zu empfinden.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
