"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","1779","0.0-0.0","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","","","","","","","","","","","","","","",""
"","external-html","1","20946","0.0-1.0","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","19143","text/information.html","","","","","","","","","","","","",""
"","external-html","2","31378","0.0-2.0","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","10416","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","89817","0.0-3.0","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","58437","","{""codeword_enter"":""an07as27""}","","","","","","","","","","","",""
"","survey-html-form","4","108899","0.0-4.0","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","19080","","{""age"":""27"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","138395","0.0-5.0","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","29493","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","142409","0.0-6.0-0.0-0.0","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","7","144949","0.0-6.0-0.0-0.1","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","8","147488","0.0-6.0-0.0-0.2","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","9","150028","0.0-6.0-0.0-0.3","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","10","152568","0.0-6.0-0.0-0.4","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","11","155107","0.0-6.0-0.0-0.5","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","12","157648","0.0-6.0-0.0-0.6","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","13","160177","0.0-6.0-0.0-0.7","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","14","162708","0.0-6.0-0.0-0.8","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","15","165247","0.0-6.0-0.0-0.9","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","16","167784","0.0-6.0-0.0-0.10","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","17","170288","0.0-6.0-0.0-0.11","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","18","172808","0.0-6.0-0.0-0.12","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","19","175348","0.0-6.0-0.0-0.13","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","20","177887","0.0-6.0-0.0-0.14","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","21","180428","0.0-6.0-0.0-0.15","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","22","182967","0.0-6.0-0.0-0.16","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","23","185488","0.0-6.0-0.0-0.17","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","24","188027","0.0-6.0-0.0-0.18","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","25","190548","0.0-6.0-0.0-0.19","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","survey-html-form","26","193010","0.0-6.0-1.0","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","1942","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","197044","0.0-6.0-2.0-0.0","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","28","199564","0.0-6.0-2.0-0.1","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","29","202068","0.0-6.0-2.0-0.2","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","30","204607","0.0-6.0-2.0-0.3","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","31","207148","0.0-6.0-2.0-0.4","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","32","209688","0.0-6.0-2.0-0.5","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","33","212228","0.0-6.0-2.0-0.6","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","34","214748","0.0-6.0-2.0-0.7","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","35","217278","0.0-6.0-2.0-0.8","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","36","219817","0.0-6.0-2.0-0.9","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","37","222358","0.0-6.0-2.0-0.10","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","38","224888","0.0-6.0-2.0-0.11","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","39","227418","0.0-6.0-2.0-0.12","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","40","229958","0.0-6.0-2.0-0.13","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","41","232498","0.0-6.0-2.0-0.14","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","42","235038","0.0-6.0-2.0-0.15","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","43","237568","0.0-6.0-2.0-0.16","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","44","240088","0.0-6.0-2.0-0.17","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","45","242608","0.0-6.0-2.0-0.18","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","46","245147","0.0-6.0-2.0-0.19","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","survey-html-form","47","248386","0.0-6.0-3.0","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","2718","","{}","","","","","","","","","","","",""
"","html-keyboard-response","48","252408","0.0-6.0-4.0-0.0","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","49","254928","0.0-6.0-4.0-0.1","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","50","257468","0.0-6.0-4.0-0.2","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","51","260008","0.0-6.0-4.0-0.3","bx1n6f7v29","one_one","1","indirect_first","0","an07as27","0","27","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
