"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","59168","0.0-0.0","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","","","","","","","","","","","","","","",""
"","external-html","1","66565","0.0-1.0","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","7388","text/information.html","","","","","","","","","","","","",""
"","external-html","2","72532","0.0-2.0","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","5962","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","135003","0.0-3.0","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","62470","","{""codeword_enter"":""ch03er21""}","","","","","","","","","","","",""
"","survey-html-form","4","161341","0.0-4.0","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","26336","","{""age"":""18"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","185692","0.0-5.0","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","24350","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","189729","0.0-6.0-0.0-0.0","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","7","192267","0.0-6.0-0.0-0.1","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","8","194808","0.0-6.0-0.0-0.2","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","9","197347","0.0-6.0-0.0-0.3","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","10","199887","0.0-6.0-0.0-0.4","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","11","202427","0.0-6.0-0.0-0.5","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","12","204967","0.0-6.0-0.0-0.6","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","13","207507","0.0-6.0-0.0-0.7","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","14","210047","0.0-6.0-0.0-0.8","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","15","212577","0.0-6.0-0.0-0.9","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","16","215117","0.0-6.0-0.0-0.10","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","17","217656","0.0-6.0-0.0-0.11","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","18","220197","0.0-6.0-0.0-0.12","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","19","222716","0.0-6.0-0.0-0.13","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","20","225256","0.0-6.0-0.0-0.14","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","21","227797","0.0-6.0-0.0-0.15","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","22","230327","0.0-6.0-0.0-0.16","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","23","232867","0.0-6.0-0.0-0.17","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","24","235407","0.0-6.0-0.0-0.18","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","25","237947","0.0-6.0-0.0-0.19","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","survey-html-form","26","245203","0.0-6.0-1.0","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","6736","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","249217","0.0-6.0-2.0-0.0","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","28","251756","0.0-6.0-2.0-0.1","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","29","254296","0.0-6.0-2.0-0.2","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","30","256836","0.0-6.0-2.0-0.3","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","31","259377","0.0-6.0-2.0-0.4","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","32","261906","0.0-6.0-2.0-0.5","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","33","264446","0.0-6.0-2.0-0.6","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","34","266986","0.0-6.0-2.0-0.7","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","35","269506","0.0-6.0-2.0-0.8","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","36","272046","0.0-6.0-2.0-0.9","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","37","274565","0.0-6.0-2.0-0.10","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","38","277087","0.0-6.0-2.0-0.11","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","39","279626","0.0-6.0-2.0-0.12","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","40","282166","0.0-6.0-2.0-0.13","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","41","284686","0.0-6.0-2.0-0.14","byep0at443","one_one","1","indirect_first","0","ch03er21","0","18","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
