"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","4468","0.0-0.0","c2fhk8suto","many_one","0","indirect_first","0","kh05er27","0","22","1","1","1","1","Es ist sehr offensichtlich dass das Zeigen der Schriftzeichen mit den Bildern am Anfang die Bewertung ""angenehm - unangenehm"" beeinflussen soll, auch wenn man das Zeichen ignorieren soll.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","32409","0.0-1.0","c2fhk8suto","many_one","0","indirect_first","0","kh05er27","0","22","1","1","1","1","Es ist sehr offensichtlich dass das Zeigen der Schriftzeichen mit den Bildern am Anfang die Bewertung ""angenehm - unangenehm"" beeinflussen soll, auch wenn man das Zeichen ignorieren soll.","0","1","0","27906","text/information.html","","","","","","","","","","","","",""
"","external-html","2","46387","0.0-2.0","c2fhk8suto","many_one","0","indirect_first","0","kh05er27","0","22","1","1","1","1","Es ist sehr offensichtlich dass das Zeigen der Schriftzeichen mit den Bildern am Anfang die Bewertung ""angenehm - unangenehm"" beeinflussen soll, auch wenn man das Zeichen ignorieren soll.","0","1","0","13908","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","81775","0.0-3.0","c2fhk8suto","many_one","0","indirect_first","0","kh05er27","0","22","1","1","1","1","Es ist sehr offensichtlich dass das Zeigen der Schriftzeichen mit den Bildern am Anfang die Bewertung ""angenehm - unangenehm"" beeinflussen soll, auch wenn man das Zeichen ignorieren soll.","0","1","0","35385","","{""codeword_enter"":""kh05er27""}","","","","","","","","","","","",""
"","survey-html-form","4","101318","0.0-4.0","c2fhk8suto","many_one","0","indirect_first","0","kh05er27","0","22","1","1","1","1","Es ist sehr offensichtlich dass das Zeigen der Schriftzeichen mit den Bildern am Anfang die Bewertung ""angenehm - unangenehm"" beeinflussen soll, auch wenn man das Zeichen ignorieren soll.","0","1","0","19538","","{""age"":""22"",""education"":""1"",""subject"":""1"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","110048","0.0-5.0","c2fhk8suto","many_one","0","indirect_first","0","kh05er27","0","22","1","1","1","1","Es ist sehr offensichtlich dass das Zeigen der Schriftzeichen mit den Bildern am Anfang die Bewertung ""angenehm - unangenehm"" beeinflussen soll, auch wenn man das Zeichen ignorieren soll.","0","1","0","8728","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","114077","0.0-6.0-0.0-0.0","c2fhk8suto","many_one","0","indirect_first","0","kh05er27","0","22","1","1","1","1","Es ist sehr offensichtlich dass das Zeigen der Schriftzeichen mit den Bildern am Anfang die Bewertung ""angenehm - unangenehm"" beeinflussen soll, auch wenn man das Zeichen ignorieren soll.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","7","116608","0.0-6.0-0.0-0.1","c2fhk8suto","many_one","0","indirect_first","0","kh05er27","0","22","1","1","1","1","Es ist sehr offensichtlich dass das Zeigen der Schriftzeichen mit den Bildern am Anfang die Bewertung ""angenehm - unangenehm"" beeinflussen soll, auch wenn man das Zeichen ignorieren soll.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","8","119137","0.0-6.0-0.0-0.2","c2fhk8suto","many_one","0","indirect_first","0","kh05er27","0","22","1","1","1","1","Es ist sehr offensichtlich dass das Zeigen der Schriftzeichen mit den Bildern am Anfang die Bewertung ""angenehm - unangenehm"" beeinflussen soll, auch wenn man das Zeichen ignorieren soll.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","9","121653","0.0-6.0-0.0-0.3","c2fhk8suto","many_one","0","indirect_first","0","kh05er27","0","22","1","1","1","1","Es ist sehr offensichtlich dass das Zeigen der Schriftzeichen mit den Bildern am Anfang die Bewertung ""angenehm - unangenehm"" beeinflussen soll, auch wenn man das Zeichen ignorieren soll.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
