"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","2232","0.0-0.0","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","","","","","","","","","","","","","","",""
"","external-html","1","18039","0.0-1.0","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","15793","text/information.html","","","","","","","","","","","","",""
"","external-html","2","33886","0.0-2.0","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","15833","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","93364","0.0-3.0","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","59478","","{""codeword_enter"":""ke08en03""}","","","","","","","","","","","",""
"","survey-html-form","4","110934","0.0-4.0","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","17568","","{""age"":""18"",""education"":""1"",""subject"":""1"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","142804","0.0-5.0","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","31870","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","146831","0.0-6.0-0.0-0.0","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","7","149370","0.0-6.0-0.0-0.1","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","8","151901","0.0-6.0-0.0-0.2","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","9","154439","0.0-6.0-0.0-0.3","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","10","156980","0.0-6.0-0.0-0.4","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","11","159520","0.0-6.0-0.0-0.5","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","12","162059","0.0-6.0-0.0-0.6","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","13","164588","0.0-6.0-0.0-0.7","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","14","167119","0.0-6.0-0.0-0.8","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","15","169659","0.0-6.0-0.0-0.9","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","16","172200","0.0-6.0-0.0-0.10","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","17","174739","0.0-6.0-0.0-0.11","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","18","177259","0.0-6.0-0.0-0.12","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","19","179799","0.0-6.0-0.0-0.13","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","20","182339","0.0-6.0-0.0-0.14","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","21","184878","0.0-6.0-0.0-0.15","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","22","187418","0.0-6.0-0.0-0.16","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","23","189939","0.0-6.0-0.0-0.17","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","24","192478","0.0-6.0-0.0-0.18","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","25","195009","0.0-6.0-0.0-0.19","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","survey-html-form","26","204681","0.0-6.0-1.0","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","9152","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","208708","0.0-6.0-2.0-0.0","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","28","211248","0.0-6.0-2.0-0.1","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","29","213778","0.0-6.0-2.0-0.2","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","30","216318","0.0-6.0-2.0-0.3","c3vdbdcgob","one_one","1","direct_first","1","ke08en03","0","18","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
