"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","5468","0.0-0.0","c8gntmmyut","one_one","1","direct_first","1","rk06th10","0","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","28682","0.0-1.0","c8gntmmyut","one_one","1","direct_first","1","rk06th10","0","24","1","1","3","1","","0","1","0","23155.950000000015","text/information.html","","","","","","","","","","","","",""
"","external-html","2","41037","0.0-2.0","c8gntmmyut","one_one","1","direct_first","1","rk06th10","0","24","1","1","3","1","","0","1","0","12246.949999999997","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","99126","0.0-3.0","c8gntmmyut","one_one","1","direct_first","1","rk06th10","0","24","1","1","3","1","","0","1","0","58084.795000000035","","{""codeword_enter"":""rk06th10""}","","","","","","","","","","","",""
"","survey-html-form","4","118115","0.0-4.0","c8gntmmyut","one_one","1","direct_first","1","rk06th10","0","24","1","1","3","1","","0","1","0","18984.910000000018","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","120511","0.0-5.0","c8gntmmyut","one_one","1","direct_first","1","rk06th10","0","24","1","1","3","1","","0","1","0","2390.9199999999837","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","124520","0.0-6.0-0.0-0.0","c8gntmmyut","one_one","1","direct_first","1","rk06th10","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","7","127024","0.0-6.0-0.0-0.1","c8gntmmyut","one_one","1","direct_first","1","rk06th10","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","8","129535","0.0-6.0-0.0-0.2","c8gntmmyut","one_one","1","direct_first","1","rk06th10","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","9","132047","0.0-6.0-0.0-0.3","c8gntmmyut","one_one","1","direct_first","1","rk06th10","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","10","134560","0.0-6.0-0.0-0.4","c8gntmmyut","one_one","1","direct_first","1","rk06th10","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","11","137072","0.0-6.0-0.0-0.5","c8gntmmyut","one_one","1","direct_first","1","rk06th10","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
