"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","6921","0.0-0.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","124341","0.0-1.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","116728","text/information.html","","","","","","","","","","","","",""
"","external-html","2","140606","0.0-2.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","16169","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","226027","0.0-3.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","85412","","{""codeword_enter"":""le05ij22""}","","","","","","","","","","","",""
"","survey-html-form","4","242942","0.0-4.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","16907","","{""age"":""25"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","248621","0.0-5.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","5674","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","252632","0.0-6.0-0.0-0.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","7","255143","0.0-6.0-0.0-0.1","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","8","257649","0.0-6.0-0.0-0.2","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","9","260154","0.0-6.0-0.0-0.3","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","10","262658","0.0-6.0-0.0-0.4","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","11","265161","0.0-6.0-0.0-0.5","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","12","267665","0.0-6.0-0.0-0.6","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","13","270170","0.0-6.0-0.0-0.7","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","14","272675","0.0-6.0-0.0-0.8","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","15","275180","0.0-6.0-0.0-0.9","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","16","277686","0.0-6.0-0.0-0.10","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","17","280189","0.0-6.0-0.0-0.11","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","18","282692","0.0-6.0-0.0-0.12","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8350.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","19","285197","0.0-6.0-0.0-0.13","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","20","287699","0.0-6.0-0.0-0.14","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","21","290203","0.0-6.0-0.0-0.15","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","22","292707","0.0-6.0-0.0-0.16","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","23","295210","0.0-6.0-0.0-0.17","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","24","297713","0.0-6.0-0.0-0.18","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","25","300218","0.0-6.0-0.0-0.19","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","survey-html-form","26","312827","0.0-6.0-1.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","12105","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","316832","0.0-6.0-2.0-0.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","28","319336","0.0-6.0-2.0-0.1","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","29","321839","0.0-6.0-2.0-0.2","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","30","324342","0.0-6.0-2.0-0.3","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","31","326846","0.0-6.0-2.0-0.4","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","32","329349","0.0-6.0-2.0-0.5","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","33","331852","0.0-6.0-2.0-0.6","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","34","334356","0.0-6.0-2.0-0.7","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","35","336859","0.0-6.0-2.0-0.8","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","36","339364","0.0-6.0-2.0-0.9","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","37","341867","0.0-6.0-2.0-0.10","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","38","344372","0.0-6.0-2.0-0.11","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","39","346876","0.0-6.0-2.0-0.12","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","40","349379","0.0-6.0-2.0-0.13","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","41","351883","0.0-6.0-2.0-0.14","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","42","354386","0.0-6.0-2.0-0.15","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","43","356890","0.0-6.0-2.0-0.16","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","44","359393","0.0-6.0-2.0-0.17","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","45","361896","0.0-6.0-2.0-0.18","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8350.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","46","364399","0.0-6.0-2.0-0.19","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","survey-html-form","47","375054","0.0-6.0-3.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","10152","","{}","","","","","","","","","","","",""
"","html-keyboard-response","48","379059","0.0-6.0-4.0-0.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","49","381563","0.0-6.0-4.0-0.1","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","50","384066","0.0-6.0-4.0-0.2","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","51","386569","0.0-6.0-4.0-0.3","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","52","389072","0.0-6.0-4.0-0.4","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","53","391577","0.0-6.0-4.0-0.5","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","54","394081","0.0-6.0-4.0-0.6","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","55","396586","0.0-6.0-4.0-0.7","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","56","399089","0.0-6.0-4.0-0.8","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","57","401592","0.0-6.0-4.0-0.9","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","58","404096","0.0-6.0-4.0-0.10","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","59","406599","0.0-6.0-4.0-0.11","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","60","409103","0.0-6.0-4.0-0.12","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","61","411607","0.0-6.0-4.0-0.13","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","62","414113","0.0-6.0-4.0-0.14","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","63","416615","0.0-6.0-4.0-0.15","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","64","419118","0.0-6.0-4.0-0.16","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","65","421621","0.0-6.0-4.0-0.17","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8350.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","66","424124","0.0-6.0-4.0-0.18","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","67","426628","0.0-6.0-4.0-0.19","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","survey-html-form","68","428834","0.0-6.0-5.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","1701","","{}","","","","","","","","","","","",""
"","html-keyboard-response","69","432840","0.0-6.0-6.0-0.0","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","70","435344","0.0-6.0-6.0-0.1","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","71","437850","0.0-6.0-6.0-0.2","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","72","440353","0.0-6.0-6.0-0.3","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","73","442857","0.0-6.0-6.0-0.4","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","74","445361","0.0-6.0-6.0-0.5","czl1ztupjr","many_one","0","indirect_first","0","le05ij22","1","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
