"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","5783","0.0-0.0","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","16477","0.0-1.0","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","10577","text/information.html","","","","","","","","","","","","",""
"","external-html","2","36499","0.0-2.0","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","19880","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","97419","0.0-3.0","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","60907","","{""codeword_enter"":""er04rt13""}","","","","","","","","","","","",""
"","survey-html-form","4","117734","0.0-4.0","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","20302","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","131740","0.0-5.0","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","13999","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","135763","0.0-6.0-0.0-0.0","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","7","138301","0.0-6.0-0.0-0.1","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","8","140833","0.0-6.0-0.0-0.2","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","9","143372","0.0-6.0-0.0-0.3","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","10","145903","0.0-6.0-0.0-0.4","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","11","148443","0.0-6.0-0.0-0.5","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","12","150982","0.0-6.0-0.0-0.6","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","13","153511","0.0-6.0-0.0-0.7","dxq9vxa50z","one_one","1","indirect_first","0","er04rt13","0","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
