"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","8124","0.0-0.0","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","62753","0.0-1.0","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","54558.07000026107","text/information.html","","","","","","","","","","","","",""
"","external-html","2","81320","0.0-2.0","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","18408.38999999687","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","135859","0.0-3.0","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","54531.34000021964","","{""codeword_enter"":""ch06er25""}","","","","","","","","","","","",""
"","survey-html-form","4","157050","0.0-4.0","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","21183.590000029653","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","170587","0.0-5.0","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","13532.494999933988","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","174613","0.0-6.0-0.0-0.0","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","7","177128","0.0-6.0-0.0-0.1","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","8","179652","0.0-6.0-0.0-0.2","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","9","182173","0.0-6.0-0.0-0.3","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","10","184693","0.0-6.0-0.0-0.4","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","11","187219","0.0-6.0-0.0-0.5","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","12","189744","0.0-6.0-0.0-0.6","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","13","192277","0.0-6.0-0.0-0.7","f01atolwpw","one_one","1","direct_first","1","ch06er25","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
