"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","31672","0.0-0.0","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","36075","0.0-1.0","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","4343","text/information.html","","","","","","","","","","","","",""
"","external-html","2","54959","0.0-2.0","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","18847","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","84620","0.0-3.0","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","29659","","{""codeword_enter"":""TA06AD23""}","","","","","","","","","","","",""
"","survey-html-form","4","100668","0.0-4.0","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","16046","","{""age"":""22"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","114611","0.0-5.0","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","13942","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","118624","0.0-6.0-0.0-0.0","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","7","121132","0.0-6.0-0.0-0.1","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","8","123642","0.0-6.0-0.0-0.2","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","9","126159","0.0-6.0-0.0-0.3","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","10","128677","0.0-6.0-0.0-0.4","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","11","131186","0.0-6.0-0.0-0.5","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","12","133695","0.0-6.0-0.0-0.6","gc1kgz4c05","one_one","1","direct_first","1","TA06AD23","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
