"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","4274","0.0-0.0","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","","","","","","","","","","","","","","",""
"","external-html","1","66874","0.0-1.0","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","62594","text/information.html","","","","","","","","","","","","",""
"","external-html","2","93787","0.0-2.0","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","26902","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","162257","0.0-3.0","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","68469","","{""codeword_enter"":""er03rl18""}","","","","","","","","","","","",""
"","survey-html-form","4","175291","0.0-4.0","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","13033","","{""age"":""21"",""education"":""1"",""subject"":""1"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","187587","0.0-5.0","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","12293","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","191603","0.0-6.0-0.0-0.0","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","7","194122","0.0-6.0-0.0-0.1","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","8","196663","0.0-6.0-0.0-0.2","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","9","199182","0.0-6.0-0.0-0.3","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","10","201722","0.0-6.0-0.0-0.4","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","11","204257","0.0-6.0-0.0-0.5","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","12","206762","0.0-6.0-0.0-0.6","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","13","209302","0.0-6.0-0.0-0.7","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","14","211832","0.0-6.0-0.0-0.8","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","15","214372","0.0-6.0-0.0-0.9","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","16","216891","0.0-6.0-0.0-0.10","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","17","219431","0.0-6.0-0.0-0.11","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","18","221971","0.0-6.0-0.0-0.12","goa5xb993y","many_one","0","indirect_first","0","er03rl18","0","21","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
