"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","3417","0.0-0.0","j669pqqyae","many_one","0","indirect_first","0","er04as06","0","20","1","2","3","1","","0","0","0","","","","","","","","","","","","","","",""
"","external-html","1","13608","0.0-1.0","j669pqqyae","many_one","0","indirect_first","0","er04as06","0","20","1","2","3","1","","0","0","0","10143.430000171065","text/information.html","","","","","","","","","","","","",""
"","external-html","2","34328","0.0-2.0","j669pqqyae","many_one","0","indirect_first","0","er04as06","0","20","1","2","3","1","","0","0","0","20666.57999996096","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","61979","0.0-3.0","j669pqqyae","many_one","0","indirect_first","0","er04as06","0","20","1","2","3","1","","0","0","0","27646.69999992475","","{""codeword_enter"":""er04as06""}","","","","","","","","","","","",""
"","survey-html-form","4","88285","0.0-4.0","j669pqqyae","many_one","0","indirect_first","0","er04as06","0","20","1","2","3","1","","0","0","0","26303.29000018537","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""2""}","","","","","","","","","","","",""
"","survey-html-form","5","90140","0.0-5.0","j669pqqyae","many_one","0","indirect_first","0","er04as06","0","20","1","2","3","1","","0","0","0","1853.1349999830127","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","94144","0.0-6.0-0.0-0.0","j669pqqyae","many_one","0","indirect_first","0","er04as06","0","20","1","2","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","7","96658","0.0-6.0-0.0-0.1","j669pqqyae","many_one","0","indirect_first","0","er04as06","0","20","1","2","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","8","99164","0.0-6.0-0.0-0.2","j669pqqyae","many_one","0","indirect_first","0","er04as06","0","20","1","2","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","9","101678","0.0-6.0-0.0-0.3","j669pqqyae","many_one","0","indirect_first","0","er04as06","0","20","1","2","3","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
