"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","5883","0.0-0.0","juwlz4ru1d","many_one","0","direct_first","1","NA05EA30","2","20","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","44920","0.0-1.0","juwlz4ru1d","many_one","0","direct_first","1","NA05EA30","2","20","1","1","3","1","","0","1","0","38978","text/information.html","","","","","","","","","","","","",""
"","external-html","2","53131","0.0-2.0","juwlz4ru1d","many_one","0","direct_first","1","NA05EA30","2","20","1","1","3","1","","0","1","0","8127","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","92076","0.0-3.0","juwlz4ru1d","many_one","0","direct_first","1","NA05EA30","2","20","1","1","3","1","","0","1","0","38943","","{""codeword_enter"":""NA05EA30""}","","","","","","","","","","","",""
"","survey-html-form","4","109981","0.0-4.0","juwlz4ru1d","many_one","0","direct_first","1","NA05EA30","2","20","1","1","3","1","","0","1","0","17899","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""2"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","125348","0.0-5.0","juwlz4ru1d","many_one","0","direct_first","1","NA05EA30","2","20","1","1","3","1","","0","1","0","15365","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","129364","0.0-6.0-0.0-0.0","juwlz4ru1d","many_one","0","direct_first","1","NA05EA30","2","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","7","131892","0.0-6.0-0.0-0.1","juwlz4ru1d","many_one","0","direct_first","1","NA05EA30","2","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","8","134418","0.0-6.0-0.0-0.2","juwlz4ru1d","many_one","0","direct_first","1","NA05EA30","2","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","9","136934","0.0-6.0-0.0-0.3","juwlz4ru1d","many_one","0","direct_first","1","NA05EA30","2","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
