"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","7590","0.0-0.0","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","47517","0.0-1.0","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","39889","text/information.html","","","","","","","","","","","","",""
"","external-html","2","61606","0.0-2.0","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","14026","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","133035","0.0-3.0","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","71428","","{""codeword_enter"":""IC06AN26""}","","","","","","","","","","","",""
"","survey-html-form","4","150502","0.0-4.0","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","17465","","{""age"":""19"",""education"":""1"",""subject"":""1"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","164409","0.0-5.0","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","13907","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","168440","0.0-6.0-0.0-0.0","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","7","170980","0.0-6.0-0.0-0.1","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","8","173510","0.0-6.0-0.0-0.2","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","9","176040","0.0-6.0-0.0-0.3","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","10","178560","0.0-6.0-0.0-0.4","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","11","181080","0.0-6.0-0.0-0.5","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","12","183619","0.0-6.0-0.0-0.6","kczkhhpz7h","one_one","1","indirect_first","0","IC06AN26","0","19","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
