"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","12281","0.0-0.0","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","27402","0.0-1.0","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","15046","text/information.html","","","","","","","","","","","","",""
"","external-html","2","41524","0.0-2.0","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","14054","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","91515","0.0-3.0","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","49986","","{""codeword_enter"":""th07rt16""}","","","","","","","","","","","",""
"","survey-html-form","4","119749","0.0-4.0","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","28206","","{""age"":""27"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","131458","0.0-5.0","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","11707","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","135485","0.0-6.0-0.0-0.0","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","7","138013","0.0-6.0-0.0-0.1","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","8","140554","0.0-6.0-0.0-0.2","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","9","143094","0.0-6.0-0.0-0.3","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","10","145624","0.0-6.0-0.0-0.4","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","11","148153","0.0-6.0-0.0-0.5","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","12","150680","0.0-6.0-0.0-0.6","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","13","153184","0.0-6.0-0.0-0.7","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","14","155714","0.0-6.0-0.0-0.8","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","15","158234","0.0-6.0-0.0-0.9","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","16","160764","0.0-6.0-0.0-0.10","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","17","163304","0.0-6.0-0.0-0.11","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","18","165834","0.0-6.0-0.0-0.12","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","19","168373","0.0-6.0-0.0-0.13","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","20","170894","0.0-6.0-0.0-0.14","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","21","173434","0.0-6.0-0.0-0.15","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","22","175951","0.0-6.0-0.0-0.16","kz986kafc8","one_one","1","direct_first","1","th07rt16","0","27","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
