"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","2358","0.0-0.0","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","","","","","","","","","","","","","","",""
"","external-html","1","35153","0.0-1.0","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","32762.08999985829","text/information.html","","","","","","","","","","","","",""
"","external-html","2","43074","0.0-2.0","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","7865.834999829531","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","113410","0.0-3.0","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","70327.67999963835","","{""codeword_enter"":""er09er23""}","","","","","","","","","","","",""
"","survey-html-form","4","128057","0.0-4.0","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","14639.675000216812","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""2"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","161585","0.0-5.0","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","33520.15000022948","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","165612","0.0-6.0-0.0-0.0","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","7","168118","0.0-6.0-0.0-0.1","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","8","170638","0.0-6.0-0.0-0.2","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","9","173160","0.0-6.0-0.0-0.3","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","10","175678","0.0-6.0-0.0-0.4","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","11","178191","0.0-6.0-0.0-0.5","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","12","180698","0.0-6.0-0.0-0.6","ldamhxqdo6","many_one","0","indirect_first","0","er09er23","1","20","1","0","3","2","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
