"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","6043","0.0-0.0","ljswwjm989","many_one","0","indirect_first","0","ss09us15","0","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","57146","0.0-1.0","ljswwjm989","many_one","0","indirect_first","0","ss09us15","0","24","1","1","3","1","","0","1","0","51004","text/information.html","","","","","","","","","","","","",""
"","external-html","2","64427","0.0-2.0","ljswwjm989","many_one","0","indirect_first","0","ss09us15","0","24","1","1","3","1","","0","1","0","7080","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","162471","0.0-3.0","ljswwjm989","many_one","0","indirect_first","0","ss09us15","0","24","1","1","3","1","","0","1","0","98037","","{""codeword_enter"":""ss09us15""}","","","","","","","","","","","",""
"","survey-html-form","4","182654","0.0-4.0","ljswwjm989","many_one","0","indirect_first","0","ss09us15","0","24","1","1","3","1","","0","1","0","20175","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","201808","0.0-5.0","ljswwjm989","many_one","0","indirect_first","0","ss09us15","0","24","1","1","3","1","","0","1","0","19150","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","205842","0.0-6.0-0.0-0.0","ljswwjm989","many_one","0","indirect_first","0","ss09us15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","7","208373","0.0-6.0-0.0-0.1","ljswwjm989","many_one","0","indirect_first","0","ss09us15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","8","210903","0.0-6.0-0.0-0.2","ljswwjm989","many_one","0","indirect_first","0","ss09us15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9560.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","9","213433","0.0-6.0-0.0-0.3","ljswwjm989","many_one","0","indirect_first","0","ss09us15","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
