"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","25441","0.0-0.0","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","31445","0.0-1.0","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","5936","text/information.html","","","","","","","","","","","","",""
"","external-html","2","38333","0.0-2.0","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","6857","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","92340","0.0-3.0","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","54004","","{""codeword_enter"":""wy06ck23""}","","","","","","","","","","","",""
"","survey-html-form","4","129785","0.0-4.0","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","37442","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","132420","0.0-5.0","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","2634","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","136435","0.0-6.0-0.0-0.0","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","7","138956","0.0-6.0-0.0-0.1","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","8","141464","0.0-6.0-0.0-0.2","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","9","143977","0.0-6.0-0.0-0.3","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","10","146490","0.0-6.0-0.0-0.4","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","11","149008","0.0-6.0-0.0-0.5","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","12","151527","0.0-6.0-0.0-0.6","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","13","154043","0.0-6.0-0.0-0.7","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","14","156562","0.0-6.0-0.0-0.8","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","15","159079","0.0-6.0-0.0-0.9","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","16","161595","0.0-6.0-0.0-0.10","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","17","164112","0.0-6.0-0.0-0.11","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","18","166633","0.0-6.0-0.0-0.12","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","19","169146","0.0-6.0-0.0-0.13","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","20","171656","0.0-6.0-0.0-0.14","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","21","174173","0.0-6.0-0.0-0.15","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","22","176692","0.0-6.0-0.0-0.16","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","23","179201","0.0-6.0-0.0-0.17","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","24","181721","0.0-6.0-0.0-0.18","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","25","184240","0.0-6.0-0.0-0.19","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","survey-html-form","26","187133","0.0-6.0-1.0","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","2384","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","191157","0.0-6.0-2.0-0.0","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","28","193676","0.0-6.0-2.0-0.1","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","29","196191","0.0-6.0-2.0-0.2","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","30","198703","0.0-6.0-2.0-0.3","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","31","201221","0.0-6.0-2.0-0.4","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","32","203736","0.0-6.0-2.0-0.5","mjw6wchufp","one_one","1","direct_first","1","wy06ck23","0","24","1","1","3","1","Ein Probedurchlauf bei dem Teil mit Zeichen und silben hätte mir geholfen, weil das erste Paar von Zeichen und Silbe so schnell wieder weg war, dass ich beides nicht gesehen habe. Danach war das kein Problem mehr, weil ich wusste was passiert. 

Sonst sehr interessant. Ich werde versuchen zu recherchieren, was die Zeichen wirklich bedeuten. :)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
