"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","3041","0.0-0.0","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","","","","","","","","","","","","","","",""
"","external-html","1","43968","0.0-1.0","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","40905","text/information.html","","","","","","","","","","","","",""
"","external-html","2","70343","0.0-2.0","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","26351","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","103805","0.0-3.0","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","33461","","{""codeword_enter"":""er06as17""}","","","","","","","","","","","",""
"","survey-html-form","4","121879","0.0-4.0","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","18072","","{""age"":""26"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","144110","0.0-5.0","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","22230","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","148132","0.0-6.0-0.0-0.0","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","7","150671","0.0-6.0-0.0-0.1","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","8","153211","0.0-6.0-0.0-0.2","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","9","155741","0.0-6.0-0.0-0.3","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","10","158281","0.0-6.0-0.0-0.4","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","11","160811","0.0-6.0-0.0-0.5","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","12","163331","0.0-6.0-0.0-0.6","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","13","165850","0.0-6.0-0.0-0.7","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","14","168387","0.0-6.0-0.0-0.8","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","15","170910","0.0-6.0-0.0-0.9","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","16","173449","0.0-6.0-0.0-0.10","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","17","175969","0.0-6.0-0.0-0.11","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","18","178509","0.0-6.0-0.0-0.12","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","19","181050","0.0-6.0-0.0-0.13","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","20","183586","0.0-6.0-0.0-0.14","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","21","186099","0.0-6.0-0.0-0.15","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","22","188639","0.0-6.0-0.0-0.16","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","23","191168","0.0-6.0-0.0-0.17","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","24","193669","0.0-6.0-0.0-0.18","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","25","196209","0.0-6.0-0.0-0.19","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","survey-html-form","26","199652","0.0-6.0-1.0","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","2922","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","203669","0.0-6.0-2.0-0.0","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","28","206209","0.0-6.0-2.0-0.1","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","29","208749","0.0-6.0-2.0-0.2","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","30","211289","0.0-6.0-2.0-0.3","mz8ckl62hl","one_one","1","direct_first","1","er06as17","0","26","1","1","3","2","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
