"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","16813","0.0-0.0","n9og5lt5ya","one_one","1","direct_first","1","ue07st21","0","24","1","1","3","2","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","117659","0.0-1.0","n9og5lt5ya","one_one","1","direct_first","1","ue07st21","0","24","1","1","3","2","","0","1","0","100728.85999991558","text/information.html","","","","","","","","","","","","",""
"","external-html","2","189904","0.0-2.0","n9og5lt5ya","one_one","1","direct_first","1","ue07st21","0","24","1","1","3","2","","0","1","0","72084.19000008143","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","281525","0.0-3.0","n9og5lt5ya","one_one","1","direct_first","1","ue07st21","0","24","1","1","3","2","","0","1","0","91616.46499997005","","{""codeword_enter"":""ue07st21""}","","","","","","","","","","","",""
"","survey-html-form","4","304306","0.0-4.0","n9og5lt5ya","one_one","1","direct_first","1","ue07st21","0","24","1","1","3","2","","0","1","0","22775.27999994345","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","323825","0.0-5.0","n9og5lt5ya","one_one","1","direct_first","1","ue07st21","0","24","1","1","3","2","","0","1","0","19515.485000098124","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","327840","0.0-6.0-0.0-0.0","n9og5lt5ya","one_one","1","direct_first","1","ue07st21","0","24","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","7","330357","0.0-6.0-0.0-0.1","n9og5lt5ya","one_one","1","direct_first","1","ue07st21","0","24","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","8","332876","0.0-6.0-0.0-0.2","n9og5lt5ya","one_one","1","direct_first","1","ue07st21","0","24","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","9","335397","0.0-6.0-0.0-0.3","n9og5lt5ya","one_one","1","direct_first","1","ue07st21","0","24","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
