"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","16203","0.0-0.0","nbt2h46sx2","one_one","1","direct_first","1","er09en28","0","21","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","65851","0.0-1.0","nbt2h46sx2","one_one","1","direct_first","1","er09en28","0","21","1","1","3","1","","0","1","0","49322.57000007667","text/information.html","","","","","","","","","","","","",""
"","external-html","2","89496","0.0-2.0","nbt2h46sx2","one_one","1","direct_first","1","er09en28","0","21","1","1","3","1","","0","1","0","23470.354999997653","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","183150","0.0-3.0","nbt2h46sx2","one_one","1","direct_first","1","er09en28","0","21","1","1","3","1","","0","1","0","93599.31499999948","","{""codeword_enter"":""er09en28""}","","","","","","","","","","","",""
"","survey-html-form","4","214092","0.0-4.0","nbt2h46sx2","one_one","1","direct_first","1","er09en28","0","21","1","1","3","1","","0","1","0","30865.559999947436","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","230376","0.0-5.0","nbt2h46sx2","one_one","1","direct_first","1","er09en28","0","21","1","1","3","1","","0","1","0","16271.655000047758","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","234392","0.0-6.0-0.0-0.0","nbt2h46sx2","one_one","1","direct_first","1","er09en28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","7","236904","0.0-6.0-0.0-0.1","nbt2h46sx2","one_one","1","direct_first","1","er09en28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9560.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","8","239419","0.0-6.0-0.0-0.2","nbt2h46sx2","one_one","1","direct_first","1","er09en28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","9","241933","0.0-6.0-0.0-0.3","nbt2h46sx2","one_one","1","direct_first","1","er09en28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9560.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","10","244456","0.0-6.0-0.0-0.4","nbt2h46sx2","one_one","1","direct_first","1","er09en28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","11","246963","0.0-6.0-0.0-0.5","nbt2h46sx2","one_one","1","direct_first","1","er09en28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
