"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","9425","0.0-0.0","nofyny1e4o","one_one","1","direct_first","1","er09ro30","0","22","1","1","3","1","es war sehr schwierig die Zeichen so schnell zu sehen, und mir ist aufgefallen, dass alle Zeichen mit einer Leiter habe ich direkt in Verbindung gebrahct mit dem leidenden Kind. ","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","61194","0.0-1.0","nofyny1e4o","one_one","1","direct_first","1","er09ro30","0","22","1","1","3","1","es war sehr schwierig die Zeichen so schnell zu sehen, und mir ist aufgefallen, dass alle Zeichen mit einer Leiter habe ich direkt in Verbindung gebrahct mit dem leidenden Kind. ","0","1","0","51713","text/information.html","","","","","","","","","","","","",""
"","external-html","2","79477","0.0-2.0","nofyny1e4o","one_one","1","direct_first","1","er09ro30","0","22","1","1","3","1","es war sehr schwierig die Zeichen so schnell zu sehen, und mir ist aufgefallen, dass alle Zeichen mit einer Leiter habe ich direkt in Verbindung gebrahct mit dem leidenden Kind. ","0","1","0","17980","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","144290","0.0-3.0","nofyny1e4o","one_one","1","direct_first","1","er09ro30","0","22","1","1","3","1","es war sehr schwierig die Zeichen so schnell zu sehen, und mir ist aufgefallen, dass alle Zeichen mit einer Leiter habe ich direkt in Verbindung gebrahct mit dem leidenden Kind. ","0","1","0","64809","","{""codeword_enter"":""er09ro30""}","","","","","","","","","","","",""
"","survey-html-form","4","174969","0.0-4.0","nofyny1e4o","one_one","1","direct_first","1","er09ro30","0","22","1","1","3","1","es war sehr schwierig die Zeichen so schnell zu sehen, und mir ist aufgefallen, dass alle Zeichen mit einer Leiter habe ich direkt in Verbindung gebrahct mit dem leidenden Kind. ","0","1","0","30672","","{""age"":""22"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","177419","0.0-5.0","nofyny1e4o","one_one","1","direct_first","1","er09ro30","0","22","1","1","3","1","es war sehr schwierig die Zeichen so schnell zu sehen, und mir ist aufgefallen, dass alle Zeichen mit einer Leiter habe ich direkt in Verbindung gebrahct mit dem leidenden Kind. ","0","1","0","2448","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","181449","0.0-6.0-0.0-0.0","nofyny1e4o","one_one","1","direct_first","1","er09ro30","0","22","1","1","3","1","es war sehr schwierig die Zeichen so schnell zu sehen, und mir ist aufgefallen, dass alle Zeichen mit einer Leiter habe ich direkt in Verbindung gebrahct mit dem leidenden Kind. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","7","183977","0.0-6.0-0.0-0.1","nofyny1e4o","one_one","1","direct_first","1","er09ro30","0","22","1","1","3","1","es war sehr schwierig die Zeichen so schnell zu sehen, und mir ist aufgefallen, dass alle Zeichen mit einer Leiter habe ich direkt in Verbindung gebrahct mit dem leidenden Kind. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","8","186504","0.0-6.0-0.0-0.2","nofyny1e4o","one_one","1","direct_first","1","er09ro30","0","22","1","1","3","1","es war sehr schwierig die Zeichen so schnell zu sehen, und mir ist aufgefallen, dass alle Zeichen mit einer Leiter habe ich direkt in Verbindung gebrahct mit dem leidenden Kind. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","9","189011","0.0-6.0-0.0-0.3","nofyny1e4o","one_one","1","direct_first","1","er09ro30","0","22","1","1","3","1","es war sehr schwierig die Zeichen so schnell zu sehen, und mir ist aufgefallen, dass alle Zeichen mit einer Leiter habe ich direkt in Verbindung gebrahct mit dem leidenden Kind. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
