"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","11933","0.0-0.0","nxaxm2lljf","one_one","1","indirect_first","0","oß08ch13","1","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","75905","0.0-1.0","nxaxm2lljf","one_one","1","indirect_first","0","oß08ch13","1","24","1","1","3","1","","0","1","0","63849","text/information.html","","","","","","","","","","","","",""
"","external-html","2","84881","0.0-2.0","nxaxm2lljf","one_one","1","indirect_first","0","oß08ch13","1","24","1","1","3","1","","0","1","0","8839","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","162595","0.0-3.0","nxaxm2lljf","one_one","1","indirect_first","0","oß08ch13","1","24","1","1","3","1","","0","1","0","77705","","{""codeword_enter"":""oß08ch13""}","","","","","","","","","","","",""
"","survey-html-form","4","184280","0.0-4.0","nxaxm2lljf","one_one","1","indirect_first","0","oß08ch13","1","24","1","1","3","1","","0","1","0","21669","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","199653","0.0-5.0","nxaxm2lljf","one_one","1","indirect_first","0","oß08ch13","1","24","1","1","3","1","","0","1","0","15355","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","203682","0.0-6.0-0.0-0.0","nxaxm2lljf","one_one","1","indirect_first","0","oß08ch13","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","7","206211","0.0-6.0-0.0-0.1","nxaxm2lljf","one_one","1","indirect_first","0","oß08ch13","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","8","208746","0.0-6.0-0.0-0.2","nxaxm2lljf","one_one","1","indirect_first","0","oß08ch13","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","9","211278","0.0-6.0-0.0-0.3","nxaxm2lljf","one_one","1","indirect_first","0","oß08ch13","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
